OG,cpk,kma
OG0000653,,KMXK0A00210
OG0000737,CENPK1137D_5249,KMXK0A01570
OG0000900,CENPK1137D_2370,
OG0000955,,KMXK0A05660
OG0001136,CENPK1137D_4912,
OG0001140,,KMXK0B00600
OG0001296,CENPK1137D_2331,
OG0001313,,KMXK0B03600
OG0001381,CENPK1137D_4185,
OG0001457,CENPK1137D_2153,
OG0001487,CENPK1137D_2071,
OG0001594,,KMXK0B08160
OG0001647,,KMXK0C00810
OG0001665,CENPK1137D_1173,
OG0001685,,KMXK0C01520
OG0001716,,KMXK0C02010
OG0001730,CENPK1137D_868,
OG0001781,CENPK1137D_1721,
OG0001835,CENPK1137D_1267,
OG0001876,,KMXK0C04630
OG0001912,CENPK1137D_3986,
OG0001938,CENPK1137D_288,
OG0001948,CENPK1137D_1521,
OG0001959,,KMXK0C05900
OG0001986,CENPK1137D_2178,
OG0002043,CENPK1137D_1111,
OG0002156,,KMXK0D02010
OG0002176,CENPK1137D_2489,
OG0002195,,KMXK0D02710
OG0002257,,KMXK0D03850
OG0002386,,KMXK0D05930
OG0002420,CENPK1137D_3109,
OG0002589,CENPK1137D_4353,
OG0002607,,KMXK0E03520
OG0002620,,KMXK0E03750
OG0002653,CENPK1137D_5308,
OG0002690,CENPK1137D_5039,
OG0002698,,KMXK0E04920
OG0002739,CENPK1137D_548,
OG0002784,,KMXK0E06230
OG0002790,CENPK1137D_4855,
OG0002792,,KMXK0F00180
OG0002873,CENPK1137D_1654,
OG0002921,CENPK1137D_98,
OG0003063,,KMXK0F04730
OG0003082,,KMXK0F05050
OG0003180,,KMXK0G01280
OG0003196,CENPK1137D_2642,
OG0003210,CENPK1137D_5151,
OG0003358,CENPK1137D_1893,
OG0003523,CENPK1137D_5094,
OG0003567,,KMXK0H03370
OG0003617,,KMXK0H04090
OG0003631,,KMXK0H04350
