OG,cpk,kma,yli
OG0000656,,KMXK0A00250,
OG0000680,,,YALI1_B25744g
OG0000705,CENPK1137D_2532,,
OG0000714,,KMXK0A01180,
OG0000732,CENPK1137D_2057,,
OG0000734,CENPK1137D_2056,,
OG0000760,,,YALI1_B29310g
OG0000767,,,YALI1_E25424g
OG0000774,CENPK1137D_2305,,
OG0000791,,,YALI1_F17082g
OG0000843,CENPK1137D_3235,,
OG0000848,CENPK1137D_3229,,
OG0000878,,,YALI1_D03245g
OG0000887,CENPK1137D_1095,,
OG0000912,,,YALI1_F15769g
OG0000926,,,YALI1_D18845g
OG0000929,CENPK1137D_1492,,
OG0000959,,,YALI1_C02086g
OG0000969,CENPK1137D_2017,,
OG0000972,,,YALI1_F22978g
OG0000975,,,YALI1_A03721g
OG0000989,CENPK1137D_3373,,YALI1_E18281g
OG0000990,,KMXK0A06270,
OG0000996,CENPK1137D_2199,,
OG0001007,,,YALI1_D34149g
OG0001008,,,YALI1_E05145g
OG0001009,CENPK1137D_3813,,YALI1_E24174g
OG0001018,,,YALI1_E40422g
OG0001028,CENPK1137D_2424,,
OG0001033,CENPK1137D_4313,,
OG0001043,CENPK1137D_1251,,
OG0001051,CENPK1137D_2789,,
OG0001059,,,YALI1_B23771g
OG0001088,CENPK1137D_4337,,
OG0001097,,,YALI1_C07077g
OG0001103,CENPK1137D_4455,,
OG0001106,,,YALI1_B27399g
OG0001126,CENPK1137D_3888,,
OG0001132,CENPK1137D_4906,,
OG0001150,CENPK1137D_304,,
OG0001172,,,YALI1_C29141g
OG0001183,,,YALI1_D25715g
OG0001192,CENPK1137D_1197,,
OG0001250,CENPK1137D_4432,,
OG0001251,CENPK1137D_4435,,
OG0001256,CENPK1137D_3260,,
OG0001264,,,YALI1_F28015g
OG0001271,CENPK1137D_2927,,
OG0001299,CENPK1137D_2327,,
OG0001321,,,YALI1_E38706g
OG0001324,CENPK1137D_4969,,
OG0001353,,,YALI1_B21618g
OG0001376,CENPK1137D_5241,,
OG0001382,CENPK1137D_4184,,
OG0001387,,,YALI1_F02238g
OG0001390,CENPK1137D_2992,,
OG0001393,CENPK1137D_1156,,
OG0001428,,,YALI1_F06797g
OG0001442,CENPK1137D_4294,,
OG0001455,CENPK1137D_2156,,
OG0001478,CENPK1137D_2141,,
OG0001501,CENPK1137D_188,,
OG0001514,,,YALI1_A19220g
OG0001520,,,YALI1_F37658g
OG0001588,CENPK1137D_2240,,
OG0001596,,,YALI1_E01904g
OG0001610,,,YALI1_C29506g
OG0001649,,,YALI1_E27532g
OG0001659,CENPK1137D_1184,,
OG0001668,,,YALI1_E02468g
OG0001686,,,YALI1_D36100g
OG0001721,CENPK1137D_3140,,
OG0001722,CENPK1137D_1276,,
OG0001739,,,YALI1_B21966g
OG0001766,CENPK1137D_3611,,
OG0001769,,,YALI1_B17805g
OG0001808,,,YALI1_A18133g
OG0001809,CENPK1137D_4715,,
OG0001810,,,YALI1_F03136g
OG0001812,CENPK1137D_3399,,YALI1_B28268g
OG0001821,,KMXK0C03800,
OG0001871,CENPK1137D_1528,,
OG0001874,CENPK1137D_2273,,
OG0001886,CENPK1137D_2697,,
OG0001893,,,YALI1_E23472g
OG0001920,,,YALI1_C28456g
OG0001935,,,YALI1_E24149g
OG0001947,,,YALI1_F04314g
OG0001949,CENPK1137D_4701,,
OG0001964,,KMXK0C05990,YALI1_F38191g
OG0001974,,,YALI1_A02365g
OG0001988,CENPK1137D_2176,,
OG0001996,,,YALI1_F25650g
OG0002008,,,YALI1_F12138g
OG0002011,CENPK1137D_3200,,
OG0002017,,,YALI1_F34187g
OG0002050,CENPK1137D_2733,,
OG0002073,CENPK1137D_698,,YALI1_C08040g
OG0002113,,,YALI1_E40502g
OG0002155,,,YALI1_B10145g
OG0002171,,,YALI1_B11167g
OG0002194,CENPK1137D_5235,,
OG0002237,CENPK1137D_1686,,
OG0002243,,,YALI1_C21664g
OG0002249,,,YALI1_D06380g
OG0002276,CENPK1137D_2615,,
OG0002278,CENPK1137D_2594,,
OG0002290,,,YALI1_B21030g
OG0002302,,,YALI1_D24361g
OG0002307,CENPK1137D_1421,,
OG0002314,,,YALI1_E30914g
OG0002321,CENPK1137D_1878,,
OG0002335,CENPK1137D_5355,,
OG0002348,CENPK1137D_5343,,
OG0002363,,KMXK0D05590,
OG0002366,,,YALI1_D01345g
OG0002367,,KMXK0D05640,YALI1_F11605g
OG0002393,,,YALI1_B19932g
OG0002404,CENPK1137D_4263,,
OG0002406,CENPK1137D_12,,
OG0002418,CENPK1137D_3429,,
