OG,cpk,kma,yli
OG0000658,,,YALI1_A19549g
OG0000664,,,YALI1_B24638g
OG0000674,,,YALI1_B01698g
OG0000675,CENPK1137D_1608,,
OG0000684,,,YALI1_F38756g
OG0000685,CENPK1137D_4741,,
OG0000696,,,YALI1_F06896g
OG0000701,CENPK1137D_4758,,
OG0000717,,,YALI1_F39106g
OG0000726,CENPK1137D_3618,,
OG0000729,CENPK1137D_3742,,
OG0000779,,,YALI1_C06368g
OG0000783,,,YALI1_E33024g
OG0000785,,,YALI1_F03120g
OG0000813,CENPK1137D_4509,,
OG0000828,,,YALI1_D14628g
OG0000831,,,YALI1_D21511g
OG0000834,,,YALI1_B20153g
OG0000835,,,YALI1_B20243g
OG0000842,CENPK1137D_337,,
OG0000846,,,YALI1_E02317g
OG0000858,CENPK1137D_3221,,
OG0000862,,,YALI1_D06195g
OG0000885,,,YALI1_A04119g
OG0000893,,,YALI1_F10616g
OG0000895,CENPK1137D_2098,,
OG0000902,CENPK1137D_4081,,
OG0000908,,,YALI1_E06882g
OG0000934,,,YALI1_E03220g
OG0000935,,,YALI1_E28599g
OG0000947,CENPK1137D_260,,
OG0000957,,,YALI1_E19483g
OG0000958,,,YALI1_E19494g
OG0000962,,,YALI1_E01649g
OG0000976,,,YALI1_A05571g
OG0001004,,,YALI1_F39128g
OG0001012,CENPK1137D_3809,,
OG0001025,CENPK1137D_3797,,
OG0001049,,,YALI1_E06068g
OG0001051,,,YALI1_E29665g
OG0001059,CENPK1137D_2780,,
OG0001080,,,YALI1_D23067g
OG0001083,CENPK1137D_565,,
OG0001092,CENPK1137D_4469,,
OG0001094,,,YALI1_C18892g
OG0001100,CENPK1137D_4459,,
OG0001106,CENPK1137D_4354,,
OG0001107,,,YALI1_E31724g
OG0001108,CENPK1137D_4359,,YALI1_D33780g
OG0001112,,,YALI1_D11722g
OG0001115,CENPK1137D_4506,,YALI1_F37963g
OG0001117,CENPK1137D_3266,,
OG0001136,,,YALI1_E36437g
OG0001144,CENPK1137D_2941,,
OG0001152,CENPK1137D_300,,
OG0001163,CENPK1137D_5414,,
OG0001167,CENPK1137D_1261,,
OG0001169,CENPK1137D_1155,KMXK0B01110,
OG0001176,CENPK1137D_841,,
OG0001181,,,YALI1_E38020g
OG0001197,,,YALI1_E02432g
OG0001201,CENPK1137D_4049,,
OG0001203,CENPK1137D_3593,,
OG0001204,,,YALI1_C07137g
OG0001207,CENPK1137D_3597,,
OG0001215,,,YALI1_A05254g
OG0001231,,,YALI1_E22238g
OG0001234,CENPK1137D_2860,,
OG0001243,,,YALI1_C06917g
OG0001249,CENPK1137D_2722,,
OG0001251,,,YALI1_D19354g
OG0001254,,,YALI1_B21562g
OG0001255,,,YALI1_F06351g
OG0001261,CENPK1137D_2852,,
OG0001268,CENPK1137D_4776,,
OG0001274,CENPK1137D_3120,,
OG0001296,,,YALI1_F31587g
OG0001297,,,YALI1_F25444g
OG0001298,,,YALI1_B01628g
OG0001301,CENPK1137D_282,,
OG0001305,CENPK1137D_4562,,
OG0001309,CENPK1137D_3051,,
OG0001325,,,YALI1_F08757g
OG0001328,,,YALI1_F05137g
OG0001349,,,YALI1_B29505g
OG0001350,,,YALI1_F15017g
OG0001352,CENPK1137D_2872,,
OG0001355,,,YALI1_E04023g
OG0001356,,,YALI1_C30287g
OG0001358,,,YALI1_C05636g
OG0001375,,,YALI1_B18134g
OG0001399,,,YALI1_E16451g
OG0001400,,,YALI1_E16493g
OG0001406,,,YALI1_D09453g
OG0001416,,,YALI1_F35907g
OG0001418,,,YALI1_F29944g
OG0001422,,,YALI1_B27500g
OG0001428,CENPK1137D_3445,,
OG0001438,CENPK1137D_5399,,
OG0001452,CENPK1137D_2160,,
OG0001463,CENPK1137D_2149,,YALI1_D08734g
OG0001472,CENPK1137D_4200,,
OG0001481,,,YALI1_E39284g
OG0001482,CENPK1137D_2774,,
OG0001485,,,YALI1_C25979g
OG0001503,,,YALI1_F37463g
OG0001506,,,YALI1_D16656g
OG0001521,,,YALI1_B13586g
OG0001522,,,YALI1_D13126g
OG0001525,CENPK1137D_3160,,
OG0001527,,,YALI1_A21345g
OG0001541,CENPK1137D_1821,,
OG0001552,CENPK1137D_3886,,
OG0001553,,,YALI1_D31823g
OG0001555,,,YALI1_E30707g
OG0001556,,,YALI1_D17268g
OG0001558,CENPK1137D_2503,,
OG0001559,CENPK1137D_3920,,
OG0001570,CENPK1137D_2519,,YALI1_D20968g
OG0001572,CENPK1137D_5289,,
OG0001576,CENPK1137D_435,,
OG0001580,,,YALI1_D26051g
OG0001586,CENPK1137D_2244,,
OG0001587,,,YALI1_F13001g
OG0001600,CENPK1137D_2227,,
OG0001601,,,YALI1_B06745g
OG0001631,,,YALI1_D31672g
OG0001636,,,YALI1_F39001g
OG0001647,CENPK1137D_728,,
OG0001653,,,YALI1_A12302g
OG0001657,CENPK1137D_1188,,
OG0001660,,,YALI1_D35575g
OG0001666,CENPK1137D_148,,
OG0001676,,,YALI1_F07181g
OG0001679,CENPK1137D_3264,,
OG0001685,CENPK1137D_2665,,
OG0001716,CENPK1137D_1274,,
OG0001728,CENPK1137D_794,,
OG0001732,,,YALI1_D17370g
OG0001738,,,YALI1_B22015g
OG0001752,,,YALI1_A01505g
OG0001760,CENPK1137D_2083,,
OG0001771,,,YALI1_F33951g
OG0001778,CENPK1137D_3915,,
OG0001780,,,YALI1_F07429g
OG0001781,CENPK1137D_1721,,
OG0001782,,,YALI1_B28053g
OG0001790,CENPK1137D_1949,,
OG0001811,CENPK1137D_1641,,
OG0001820,,,YALI1_F17988g
OG0001828,,,YALI1_A05052g
OG0001844,,,YALI1_E14132g
OG0001853,,,YALI1_D14329g
OG0001860,CENPK1137D_4129,,
OG0001861,,,YALI1_D08151g
OG0001867,,,YALI1_D25250g
OG0001884,,,YALI1_F13446g
OG0001888,CENPK1137D_2698,,
OG0001891,,,YALI1_B01839g
OG0001901,CENPK1137D_2898,,
OG0001902,,,YALI1_D12056g
OG0001904,,,YALI1_F36178g
OG0001907,CENPK1137D_3964,,
OG0001927,CENPK1137D_5206,,
OG0001929,,,YALI1_A12403g
OG0001939,,,YALI1_D00449g
OG0001948,,,YALI1_E29433g
OG0001957,,,YALI1_A07575g
OG0001965,,,YALI1_B13483g
OG0001970,,,YALI1_E11630g
OG0001980,CENPK1137D_724,,
OG0001986,,,YALI1_D17666g
OG0001995,,,YALI1_B13948g
OG0002006,,,YALI1_C02152g
OG0002016,,,YALI1_D29335g
OG0002018,CENPK1137D_3112,,
OG0002021,CENPK1137D_3444,,
OG0002028,CENPK1137D_3319,,
OG0002033,CENPK1137D_2968,,
OG0002043,,,YALI1_C24367g
OG0002047,,KMXK0C07310,
OG0002050,,,YALI1_B05520g
OG0002051,,,YALI1_F35753g
OG0002055,CENPK1137D_2729,,
OG0002062,CENPK1137D_4977,,
OG0002072,,,YALI1_F21279g
OG0002077,CENPK1137D_2987,,
OG0002084,CENPK1137D_886,,
OG0002086,,,YALI1_D35148g
OG0002093,,,YALI1_F36966g
OG0002102,,,YALI1_F24359g
OG0002103,CENPK1137D_3883,,
OG0002105,,,YALI1_F10342g
OG0002109,,KMXK0D01220,
OG0002112,,,YALI1_E07306g
OG0002117,CENPK1137D_3865,,
OG0002124,,,YALI1_F15533g
OG0002125,CENPK1137D_3869,,
OG0002126,,,YALI1_B15180g
OG0002129,,,YALI1_D18408g
OG0002154,,,YALI1_B11200g
OG0002160,,,YALI1_F25924g
OG0002168,CENPK1137D_2187,,
OG0002181,,,YALI1_D08339g
OG0002183,CENPK1137D_1520,,
OG0002191,,,YALI1_C33098g
OG0002196,,,YALI1_D06311g
OG0002198,CENPK1137D_5449,,
OG0002219,,,YALI1_C14273g
OG0002225,,,YALI1_E31351g
OG0002232,CENPK1137D_66,,
OG0002237,,,YALI1_E12103g
OG0002242,,,YALI1_F17756g
OG0002263,,,YALI1_D31083g
OG0002271,,,YALI1_D35190g
OG0002275,CENPK1137D_2237,,
OG0002281,CENPK1137D_3482,,
OG0002282,CENPK1137D_3484,,
OG0002298,,,YALI1_F11493g
OG0002302,CENPK1137D_2960,,
OG0002315,CENPK1137D_3651,,
OG0002322,,,YALI1_F07699g
OG0002336,CENPK1137D_1438,,
OG0002338,CENPK1137D_1436,,
OG0002342,CENPK1137D_1432,,
OG0002343,,,YALI1_F27017g
OG0002355,,,YALI1_B17908g
OG0002358,CENPK1137D_1128,,
OG0002364,,,YALI1_D05320g
OG0002370,,,YALI1_E40754g
OG0002372,CENPK1137D_1914,,
OG0002380,,,YALI1_C30181g
OG0002381,CENPK1137D_1906,,
OG0002383,CENPK1137D_2840,,
OG0002391,CENPK1137D_4280,,
OG0002397,,,YALI1_F19192g
OG0002399,CENPK1137D_5,,
OG0002405,CENPK1137D_4261,,
OG0002409,,,YALI1_D07162g
OG0002414,CENPK1137D_4257,,
OG0002422,CENPK1137D_2384,,
OG0002440,,,YALI1_D14893g
OG0002462,,,YALI1_F39108g
OG0002472,CENPK1137D_2351,,
OG0002481,,,YALI1_C10730g
OG0002485,CENPK1137D_4036,,
OG0002491,,,YALI1_A22157g
OG0002524,CENPK1137D_709,,
OG0002529,,,YALI1_D20164g
OG0002544,,,YALI1_F04185g
OG0002551,CENPK1137D_3835,,
OG0002552,CENPK1137D_4578,,YALI1_E21983g
OG0002562,CENPK1137D_2420,,
OG0002569,CENPK1137D_3027,,
OG0002573,,,YALI1_E35580g
OG0002578,,,YALI1_C07451g
OG0002583,,,YALI1_C28166g
OG0002585,,,YALI1_E01623g
OG0002586,CENPK1137D_577,,YALI1_D21076g
OG0002594,,,YALI1_D33552g
OG0002614,,,YALI1_F12080g
OG0002622,CENPK1137D_3666,,
OG0002632,,,YALI1_B23798g
OG0002641,CENPK1137D_3647,,
OG0002648,,,YALI1_D06131g
OG0002651,,,YALI1_B17592g
OG0002656,,,YALI1_E37387g
OG0002657,,,YALI1_E28465g
OG0002660,,,YALI1_B16110g
OG0002670,,,YALI1_B30214g
OG0002681,,,YALI1_C02402g
OG0002689,,,YALI1_F07819g
OG0002697,,,YALI1_C01297g
OG0002703,CENPK1137D_3979,,
OG0002706,,,YALI1_C00999g
OG0002716,,,YALI1_E05709g
OG0002738,CENPK1137D_547,,
OG0002739,,,YALI1_D23785g
OG0002770,CENPK1137D_2464,,
OG0002777,,,YALI1_B20188g
OG0002810,CENPK1137D_594,,
OG0002813,CENPK1137D_4119,,
OG0002817,CENPK1137D_4186,,
OG0002820,,,YALI1_C07170g
OG0002821,CENPK1137D_3694,,
OG0002822,,,YALI1_B12409g
OG0002844,CENPK1137D_384,,
OG0002849,CENPK1137D_1419,,
OG0002859,CENPK1137D_1399,,
OG0002864,,,YALI1_E22718g
OG0002865,CENPK1137D_44,,
OG0002866,CENPK1137D_3328,,
OG0002868,,,YALI1_C29402g
OG0002878,,,YALI1_A03757g
OG0002885,CENPK1137D_1673,,
OG0002897,,,YALI1_F31102g
OG0002922,CENPK1137D_100,,
OG0002941,,,YALI1_B04779g
OG0002945,,KMXK0F02790,
OG0002952,,,YALI1_C16080g
OG0002954,CENPK1137D_2456,,
OG0002956,,,YALI1_D32424g
OG0002959,,,YALI1_C21891g
OG0002963,,,YALI1_B19388g
OG0002965,CENPK1137D_5269,,
OG0002985,CENPK1137D_2567,,YALI1_E32664g
OG0002988,,,YALI1_F19106g
OG0003003,,,YALI1_D11151g
OG0003007,CENPK1137D_927,,
OG0003016,,,YALI1_F07318g
OG0003019,,,YALI1_E02959g
OG0003034,,,YALI1_B15346g
OG0003040,,,YALI1_B15692g
OG0003045,,,YALI1_D19515g
OG0003049,,,YALI1_D28518g
OG0003052,CENPK1137D_4926,,
OG0003053,CENPK1137D_3826,,
OG0003055,CENPK1137D_4548,,
OG0003072,,,YALI1_F19697g
OG0003076,CENPK1137D_3173,,
OG0003077,CENPK1137D_3174,,
OG0003081,,,YALI1_F30004g
OG0003098,CENPK1137D_3197,,
OG0003105,,,YALI1_E12541g
OG0003113,,,YALI1_A01777g
OG0003130,,,YALI1_F34083g
OG0003136,CENPK1137D_28,,
OG0003138,,,YALI1_E05390g
OG0003155,,,YALI1_B13137g
OG0003178,,,YALI1_D01739g
OG0003179,,,YALI1_F32989g
OG0003184,,,YALI1_D04969g
OG0003189,,,YALI1_D12271g
OG0003196,CENPK1137D_2642,,
OG0003198,,,YALI1_E06056g
OG0003199,,,YALI1_F28274g
OG0003203,,,YALI1_F29196g
OG0003220,,,YALI1_B14236g
OG0003223,,,YALI1_E41148g
OG0003227,,,YALI1_E24513g
OG0003228,CENPK1137D_3249,,
OG0003232,,,YALI1_F20462g
OG0003250,CENPK1137D_2113,,
OG0003251,,,YALI1_C03415g
OG0003265,,,YALI1_C19500g
OG0003267,,,YALI1_A09593g
OG0003268,,,YALI1_A09626g
OG0003273,CENPK1137D_950,,
OG0003274,CENPK1137D_953,,
OG0003281,,,YALI1_F23109g
OG0003283,CENPK1137D_2760,,
OG0003287,CENPK1137D_4651,,
OG0003290,CENPK1137D_4656,,
OG0003297,CENPK1137D_1773,,
OG0003299,CENPK1137D_4664,,
OG0003304,CENPK1137D_296,,
OG0003319,CENPK1137D_3503,,
OG0003327,CENPK1137D_4777,,
OG0003331,CENPK1137D_3520,,
OG0003342,CENPK1137D_2104,,
OG0003343,CENPK1137D_4192,,
OG0003345,,,YALI1_C30706g
OG0003346,,,YALI1_C24460g
OG0003357,CENPK1137D_451,,
OG0003365,,,YALI1_B24564g
OG0003373,CENPK1137D_3336,,
OG0003374,CENPK1137D_461,,
OG0003375,,,YALI1_D16206g
OG0003379,,,YALI1_E29005g
OG0003384,,,YALI1_A12225g
OG0003393,,,YALI1_B11794g
OG0003402,CENPK1137D_3772,,
OG0003436,,,YALI1_E09241g
OG0003437,CENPK1137D_4905,,
OG0003443,CENPK1137D_4577,,
OG0003453,,,YALI1_D00311g
OG0003454,CENPK1137D_3479,,
OG0003464,,,YALI1_C24124g
OG0003488,,,YALI1_C10232g
OG0003490,CENPK1137D_1855,,
OG0003497,CENPK1137D_1898,,YALI1_B05832g
OG0003505,,,YALI1_F11781g
OG0003508,,,YALI1_F27041g
OG0003510,CENPK1137D_4376,,
OG0003525,CENPK1137D_1860,,
OG0003527,CENPK1137D_1862,,
OG0003530,,,YALI1_F26957g
OG0003532,,,YALI1_C17995g
OG0003536,,,YALI1_A21630g
OG0003543,,,YALI1_E03623g
OG0003545,,KMXK0H03050,
OG0003564,CENPK1137D_4636,,
OG0003580,,,YALI1_E29939g
OG0003582,,,YALI1_D18770g
OG0003601,,,YALI1_E07099g
OG0003614,,,YALI1_D34529g
OG0003619,,,YALI1_E13287g
OG0003620,,,YALI1_E13280g
OG0003622,,,YALI1_D14125g
OG0003627,,,YALI1_E18441g
OG0003629,,,YALI1_F39620g
