OG,cpk,kma,yli
OG0000674,,,YALI1_B01698g
OG0000675,,KMXK0A00530,YALI1_E28779g
OG0000685,CENPK1137D_4741,,
OG0000712,,KMXK0A01160,
OG0000738,CENPK1137D_676,,
OG0000785,,,YALI1_F03120g
OG0000824,,KMXK0A03210,
OG0000844,,KMXK0A03520,
OG0000846,,,YALI1_E02317g
OG0000875,CENPK1137D_5411,,
OG0000902,CENPK1137D_4081,,
OG0000926,,,YALI1_D18845g
OG0000947,CENPK1137D_260,,
OG0000957,,,YALI1_E19483g
OG0000970,,KMXK0A05900,
OG0000978,CENPK1137D_2009,,
OG0000986,CENPK1137D_2919,,
OG0001011,,KMXK0A06580,
OG0001084,,KMXK0A07690,
OG0001092,CENPK1137D_4469,,
OG0001108,CENPK1137D_4359,,
OG0001112,,,YALI1_D11722g
OG0001138,CENPK1137D_2945,,
OG0001152,CENPK1137D_300,,
OG0001163,CENPK1137D_5414,,
OG0001168,,KMXK0B01100,
OG0001201,CENPK1137D_4049,KMXK0B01790,
OG0001204,,,YALI1_C07137g
OG0001215,,,YALI1_A05254g
OG0001216,,KMXK0B02070,
OG0001231,,KMXK0B02340,
OG0001249,CENPK1137D_2722,,
OG0001257,,KMXK0B02770,
OG0001261,CENPK1137D_2852,,
OG0001266,,KMXK0B02910,
OG0001289,CENPK1137D_442,,
OG0001296,,,YALI1_F31587g
OG0001297,,,YALI1_F25444g
OG0001352,CENPK1137D_2872,,
OG0001355,,,YALI1_E04023g
OG0001360,CENPK1137D_4806,,
OG0001399,CENPK1137D_554,,
OG0001402,,KMXK0B04960,
OG0001403,,KMXK0B04980,
OG0001428,CENPK1137D_3445,,
OG0001438,CENPK1137D_5399,,
OG0001452,CENPK1137D_2160,,
OG0001463,CENPK1137D_2149,,
OG0001522,,,YALI1_D13126g
OG0001544,CENPK1137D_5342,,
OG0001559,CENPK1137D_3920,,
OG0001570,,,YALI1_D20968g
OG0001589,,KMXK0B08090,
OG0001610,CENPK1137D_3199,,
OG0001617,,KMXK0C00360,
OG0001618,,KMXK0C00370,
OG0001636,,,YALI1_F39001g
OG0001655,,KMXK0C00950,
OG0001686,,KMXK0C01530,
OG0001695,CENPK1137D_1214,,
OG0001716,CENPK1137D_1274,,
OG0001720,CENPK1137D_3141,,
OG0001782,,,YALI1_B28053g
OG0001808,CENPK1137D_4714,,
OG0001820,CENPK1137D_3125,,YALI1_F17988g
OG0001840,CENPK1137D_5437,,
OG0001889,CENPK1137D_4407,,
OG0001909,CENPK1137D_4061,,
OG0001913,,KMXK0C05200,
OG0001956,,KMXK0C05870,
OG0001977,,KMXK0C06240,
OG0001980,CENPK1137D_724,,
OG0001986,,,YALI1_D17666g
OG0002008,CENPK1137D_20,,
OG0002017,CENPK1137D_3123,,
OG0002018,CENPK1137D_3112,,
OG0002021,CENPK1137D_3444,,
OG0002047,CENPK1137D_127,,
OG0002055,CENPK1137D_2729,,
OG0002060,CENPK1137D_2971,,
OG0002092,CENPK1137D_877,,
OG0002103,CENPK1137D_3883,KMXK0D01140,
OG0002109,,KMXK0D01220,
OG0002111,,KMXK0D01260,
OG0002117,CENPK1137D_3865,,
OG0002139,,KMXK0D01720,
OG0002147,,KMXK0D01880,
OG0002156,CENPK1137D_498,,
OG0002160,,,YALI1_F25924g
OG0002195,CENPK1137D_5234,,
OG0002202,CENPK1137D_1314,,
OG0002245,CENPK1137D_3459,,
OG0002272,CENPK1137D_945,,
OG0002275,CENPK1137D_2237,,
OG0002302,CENPK1137D_2960,,
OG0002322,,,YALI1_F07699g
OG0002358,CENPK1137D_1128,,
OG0002383,,KMXK0D05850,
OG0002399,CENPK1137D_5,,
OG0002422,,KMXK0E00150,
OG0002440,,,YALI1_D14893g
OG0002485,CENPK1137D_4036,,
OG0002524,CENPK1137D_709,KMXK0E02060,
OG0002552,CENPK1137D_4578,,YALI1_E21983g
OG0002569,CENPK1137D_3027,,
OG0002577,CENPK1137D_3497,,
OG0002586,CENPK1137D_577,,
OG0002598,CENPK1137D_225,,
OG0002604,,KMXK0E03460,
OG0002661,,KMXK0E04320,
OG0002670,,,YALI1_B30214g
OG0002682,CENPK1137D_4815,,
OG0002703,CENPK1137D_3979,,
OG0002724,,KMXK0E05330,
OG0002738,CENPK1137D_547,,
OG0002739,,,YALI1_D23785g
OG0002821,CENPK1137D_3694,KMXK0F00730,
OG0002822,,,YALI1_B12409g
OG0002844,CENPK1137D_384,,
OG0002851,,KMXK0F01270,
OG0002865,CENPK1137D_44,,
OG0002886,CENPK1137D_4072,,
OG0002945,,KMXK0F02790,
OG0002954,CENPK1137D_2456,,
OG0002956,,,YALI1_D32424g
OG0002967,,KMXK0F03150,
OG0002985,CENPK1137D_2567,,YALI1_E32664g
OG0002987,CENPK1137D_2568,,
OG0003003,,,YALI1_D11151g
OG0003011,CENPK1137D_91,,
OG0003121,,KMXK0G00180,
OG0003188,,KMXK0G01390,
OG0003220,,,YALI1_B14236g
OG0003261,,KMXK0G02530,
OG0003283,CENPK1137D_2760,,
OG0003287,CENPK1137D_4651,,
OG0003291,,KMXK0G03010,
OG0003296,,KMXK0G03090,
OG0003299,CENPK1137D_4664,,
OG0003319,CENPK1137D_3503,,
OG0003327,CENPK1137D_4777,,
OG0003333,CENPK1137D_4688,,
OG0003342,CENPK1137D_2104,,
OG0003365,,,YALI1_B24564g
OG0003374,CENPK1137D_461,,
OG0003375,,,YALI1_D16206g
OG0003409,,KMXK0H00950,
OG0003461,CENPK1137D_3477,,
OG0003492,CENPK1137D_1888,KMXK0H02200,
OG0003497,,,YALI1_B05832g
OG0003543,CENPK1137D_1820,,
OG0003577,,KMXK0H03480,
OG0003580,,,YALI1_E29939g
OG0003591,CENPK1137D_5214,,
OG0003600,CENPK1137D_206,,YALI1_C24891g
OG0003601,,KMXK0H03880,
OG0003603,,KMXK0H03900,
OG0003629,,KMXK0H04290,
OG0003639,,KMXK0H04430,
