# Program:featureCounts v1.6.0; Command:"featureCounts" "-T" "8" "-s" "2" "-p" "-t" "CDS" "-g" "Name" "-a" "Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/CBS6556TD.gff" "-o" "Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/KM_STAR_March2019.txt" "Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/40C1NewGenome_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/40C2NewGenome_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/40C3NewGenome_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/KCl2NewGenome_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/KCl3NewGenome_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/Kcl1NewGenome_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/Std1NewGenome_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/Std2NewGenome_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/Std3NewGenome_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/pH351NewGenome_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/pH352NewGenome_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/pH353NewGenome_STARAligned.out.bam" 
Geneid	Chr	Start	End	Strand	Length	Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/40C1NewGenome_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/40C2NewGenome_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/40C3NewGenome_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/KCl2NewGenome_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/KCl3NewGenome_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/Kcl1NewGenome_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/Std1NewGenome_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/Std2NewGenome_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/Std3NewGenome_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/pH351NewGenome_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/pH352NewGenome_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/pH353NewGenome_STARAligned.out.bam
KMXK0A00100	ChrI	4551	20681	-	16131	0	0	0	2	4	0	0	0	0	0	0	0
KMXK0A00110	ChrI	24331	25779	+	1449	1109	557	1681	1070	992	580	774	879	819	795	875	560
KMXK0A00120	ChrI	26047	27153	-	1107	15387	148	4492	4786	4066	5869	5223	4193	3814	5139	5343	7213
KMXK0A00130	ChrI	27881	28828	-	948	3066	1231	3093	1539	1497	1080	1572	1798	1247	1992	2341	1426
KMXK0A00140	ChrI	29624	31267	-	1644	837	142	797	899	547	866	564	875	431	1440	1856	757
KMXK0A00150	ChrI	33380	34051	+	672	1387	266	1095	346	399	521	652	1308	576	813	620	680
KMXK0A00160	ChrI	34663	35622	-	960	4	2	2	131	330	13	6	1	8	2	2	3
KMXK0A00170	ChrI	36580	37140	+	561	36	9	22	88	85	50	35	59	51	38	58	37
KMXK0A00180	ChrI	37371	39140	-	1770	293	104	252	399	434	217	226	245	339	220	198	131
KMXK0A00190	ChrI	40161	40823	+	663	468	198	349	701	852	526	348	373	359	341	338	224
KMXK0A00200	ChrI	41327	43231	-	1905	106	27	81	872	3008	2291	29	73	62	46	36	193
KMXK0A00210	ChrI	44177	46322	-	2146	1123	136	1342	2816	2562	2289	1458	1272	1441	1440	1539	1019
KMXK0A00220	ChrI	46933	47484	-	552	2501	468	2160	3195	3334	3293	2935	2718	3266	3068	2766	2893
KMXK0A00230	ChrI	48060	48803	+	744	600	476	566	682	663	671	504	527	631	584	530	557
KMXK0A00240	ChrI	49166	50494	-	1329	1417	181	1287	1348	1319	1384	1019	1015	1086	1181	1226	1122
KMXK0A00250	ChrI	51030	51662	+	633	773	72	661	678	500	550	346	353	466	732	768	634
KMXK0A00260	ChrI	51869	52465	+	597	729	227	766	833	681	705	557	711	833	692	626	896
KMXK0A00270	ChrI	52471	52881	-	411	444	234	436	408	406	359	311	374	436	354	299	344
KMXK0A00280	ChrI	53120	54271	+	1152	344	64	331	433	438	411	426	499	419	409	347	363
KMXK0A00290	ChrI	54587	55312	+	726	685	286	561	520	526	503	460	454	620	552	542	502
KMXK0A00300	ChrI	55533	57617	-	2085	3606	35571	3751	3803	3632	4296	3696	3852	3192	3262	3609	4056
KMXK0A00310	ChrI	57966	59756	-	1791	3270	354	3626	2989	2869	2794	2128	2085	2642	2740	2724	2553
KMXK0A00320	ChrI	60111	60719	+	609	820	91	906	725	704	903	802	788	716	860	850	851
KMXK0A00330	ChrI	60857	63115	-	2259	1833	91	1732	2244	2183	2297	1715	1994	1996	1728	1648	1944
KMXK0A00340	ChrI	63524	63964	-	441	2240	209	2336	3127	3032	3101	1758	2014	2572	2319	2194	2349
KMXK0A00350	ChrI	64447	65388	+	942	414	17	401	615	566	669	420	419	418	362	352	382
KMXK0A00360	ChrI	65417	67609	+	2193	1584	440	1254	1391	1566	1481	953	1090	1122	980	1023	934
KMXK0A00370	ChrI	67719	68252	-	534	420	369	799	568	344	27	50	83	99	302	270	80
KMXK0A00380	ChrI	68835	69926	-	1092	41	98	24	1	0	3	5	5	1	15	23	19
KMXK0A00390	ChrI	71231	72172	+	942	366	84	271	402	380	427	393	396	495	412	375	374
KMXK0A00400	ChrI	72203	73549	-	1347	173	8	135	213	239	281	214	273	209	204	186	328
KMXK0A00410	ChrI	74019	75437	+	1419	825	175	792	833	842	859	622	812	681	735	717	959
KMXK0A00420	ChrI	75825	77009	+	1185	906	113	709	1125	1150	1107	784	833	848	847	760	831
KMXK0A00430	ChrI	77096	77584	-	489	1022	50	806	1342	1186	1154	794	899	953	949	970	737
KMXK0A00440	ChrI	77812	78174	-	363	601	244	523	429	512	556	499	534	461	437	426	442
KMXK0A00450	ChrI	78458	79882	+	1425	1883	72	1474	2019	2120	2284	1515	1829	1888	1599	1539	1511
KMXK0A00460	ChrI	79951	80166	-	216	92	17	89	90	72	99	104	113	86	111	124	114
KMXK0A00470	ChrI	80513	81577	+	1065	1096	335	887	912	850	942	751	827	721	967	1107	1076
KMXK0A00480	ChrI	81707	83053	-	1347	4049	258	3469	5570	5563	5880	5813	5685	4992	5753	5238	6779
KMXK0A00490	ChrI	83431	85923	-	2493	2220	1542	1854	2526	2680	2685	1767	2037	2289	1954	1774	1719
KMXK0A00500	ChrI	86418	87158	-	741	815	106	812	1017	970	1048	801	906	870	910	829	978
KMXK0A00510	ChrI	87765	89696	+	1932	2236	2383	2581	1761	1820	2119	1723	3711	1690	1907	2086	3943
KMXK0A00520	ChrI	90578	92329	+	1752	22	7	47	65	126	6	22	10	82	18	10	8
KMXK0A00530	ChrI	92905	94257	+	1353	1210	469	1619	945	1038	888	3565	2548	2684	2535	1576	2888
KMXK0A00540	ChrI	94613	96067	+	1455	5412	299	6319	7623	7157	8095	5910	5964	7487	6447	6578	5616
KMXK0A00550	ChrI	96436	97146	-	711	18735	6612	17706	23763	24743	28739	23835	29465	22771	20845	22618	29937
KMXK0A00560	ChrI	98882	100702	-	1821	5431	2414	4650	4728	4521	4304	4162	3889	5478	5142	5075	4828
KMXK0A00570	ChrI	102531	103373	+	843	24936	8308	17046	20984	20285	27119	17054	18108	19439	20373	23075	20834
KMXK0A00580	ChrI	104479	105432	+	954	950	5176	1257	295	384	117	415	665	640	487	410	336
KMXK0A00590	ChrI	105885	107045	+	1161	887	14	501	730	708	692	548	531	499	677	594	733
KMXK0A00600	ChrI	107150	108835	-	1686	1644	685	1528	1344	1251	1648	1288	1750	1332	1280	1312	1713
KMXK0A00610	ChrI	110486	117193	+	6708	2690	581	2574	2829	2448	2865	2521	2682	2717	2420	2214	2206
