OG,sce,kma
OG0000774,CENPK1137D_2305,
OG0000808,CENPK1137D_3646,
OG0000823,CENPK1137D_4591,
OG0000827,CENPK1137D_3598,
OG0000844,CENPK1137D_3234,
OG0000875,CENPK1137D_5411,
OG0000907,,KMXK0A04730
OG0000946,CENPK1137D_259,
OG0000978,CENPK1137D_2009,
OG0001044,CENPK1137D_2795,
OG0001059,CENPK1137D_2780,
OG0001087,CENPK1137D_557,
OG0001092,CENPK1137D_4469,
OG0001099,CENPK1137D_4464,
OG0001102,CENPK1137D_4344,
OG0001105,CENPK1137D_4346,
OG0001139,CENPK1137D_2944,
OG0001160,CENPK1137D_5420,
OG0001199,CENPK1137D_4075,
OG0001210,CENPK1137D_3867,
OG0001255,CENPK1137D_1851,KMXK0B02720
OG0001265,CENPK1137D_4781,
OG0001274,CENPK1137D_3120,
OG0001289,CENPK1137D_442,
OG0001359,CENPK1137D_4805,
OG0001360,CENPK1137D_4806,
OG0001417,CENPK1137D_3094,
OG0001428,CENPK1137D_3445,
OG0001438,CENPK1137D_5399,
OG0001444,CENPK1137D_4296,
OG0001479,CENPK1137D_2140,
OG0001544,CENPK1137D_5342,
OG0001566,CENPK1137D_2511,
OG0001580,CENPK1137D_3368,
OG0001598,CENPK1137D_1572,
OG0001606,CENPK1137D_4845,
OG0001639,CENPK1137D_1000,
OG0001666,CENPK1137D_148,
OG0001683,CENPK1137D_2671,
OG0001684,CENPK1137D_4488,
OG0001685,CENPK1137D_2665,
OG0001695,CENPK1137D_1214,
OG0001716,CENPK1137D_1274,
OG0001720,CENPK1137D_3141,
OG0001757,CENPK1137D_1084,
OG0001788,CENPK1137D_3279,
OG0001795,CENPK1137D_233,
OG0001796,CENPK1137D_232,
OG0001849,CENPK1137D_4116,
OG0001871,CENPK1137D_1528,
OG0001882,CENPK1137D_2280,
OG0001887,CENPK1137D_4405,
OG0001917,CENPK1137D_4054,
OG0001919,CENPK1137D_4052,
OG0001934,CENPK1137D_289,
OG0001958,CENPK1137D_4934,
OG0001964,CENPK1137D_4929,
OG0002008,CENPK1137D_20,
OG0002045,,KMXK0C07290
OG0002070,CENPK1137D_697,
OG0002108,CENPK1137D_673,
OG0002109,CENPK1137D_5285,
OG0002114,CENPK1137D_3856,
OG0002118,,KMXK0D01380
OG0002139,,KMXK0D01720
OG0002245,CENPK1137D_3459,
OG0002248,CENPK1137D_3456,
OG0002275,CENPK1137D_2237,
OG0002313,CENPK1137D_771,
OG0002320,CENPK1137D_1876,
OG0002358,CENPK1137D_1128,
OG0002391,CENPK1137D_4280,
OG0002422,CENPK1137D_2384,
OG0002434,CENPK1137D_1583,
OG0002502,CENPK1137D_4920,
OG0002514,CENPK1137D_808,
OG0002518,CENPK1137D_3006,
OG0002543,CENPK1137D_3841,
OG0002559,,KMXK0E02630
OG0002562,CENPK1137D_2420,
OG0002593,CENPK1137D_581,
OG0002596,CENPK1137D_229,
OG0002598,CENPK1137D_225,
OG0002640,CENPK1137D_5058,
OG0002682,CENPK1137D_4815,
OG0002703,CENPK1137D_3979,
OG0002764,CENPK1137D_3710,
OG0002826,CENPK1137D_3701,
OG0002837,CENPK1137D_240,
OG0002840,CENPK1137D_746,
OG0002844,CENPK1137D_384,
OG0002859,CENPK1137D_1399,
OG0002861,CENPK1137D_5284,
OG0002897,CENPK1137D_1935,
OG0002902,CENPK1137D_1939,
OG0002932,CENPK1137D_972,
OG0002980,CENPK1137D_2565,
OG0002987,CENPK1137D_2568,
OG0003052,CENPK1137D_4926,
OG0003053,CENPK1137D_3826,KMXK0F04580
OG0003063,CENPK1137D_4082,
OG0003107,CENPK1137D_1508,
OG0003134,,KMXK0G00460
OG0003142,CENPK1137D_2544,
OG0003144,CENPK1137D_1303,
OG0003158,CENPK1137D_2043,
OG0003165,CENPK1137D_2826,
OG0003180,CENPK1137D_5173,
OG0003216,CENPK1137D_5143,
OG0003265,CENPK1137D_2281,
OG0003299,CENPK1137D_4664,
OG0003319,CENPK1137D_3503,
OG0003342,CENPK1137D_2104,
OG0003404,CENPK1137D_1398,
OG0003435,CENPK1137D_1729,
OG0003444,CENPK1137D_4599,
OG0003461,CENPK1137D_3477,
OG0003559,CENPK1137D_5425,
OG0003629,,KMXK0H04290
OG0003636,CENPK1137D_3385,
OG0003638,,KMXK0H04420
OG0003639,,KMXK0H04430
