OG,sce,kma,yli
OG0000664,,,YALI1_B24638g
OG0000731,,,YALI1_C25598g
OG0000760,,,YALI1_B29310g
OG0001015,CENPK1137D_4561,,
OG0001163,,,YALI1_E41367g
OG0001171,CENPK1137D_4498,,
OG0001321,,,YALI1_E38706g
OG0001377,,,YALI1_C05088g
OG0001386,CENPK1137D_694,,
OG0001502,CENPK1137D_3729,,
OG0001503,CENPK1137D_334,,
OG0001610,,,YALI1_C29506g
OG0001672,CENPK1137D_3377,,
OG0001788,,,YALI1_D00614g
OG0001810,,,YALI1_F03136g
OG0001888,CENPK1137D_2698,,
OG0001964,,KMXK0C05990,YALI1_F38191g
OG0001966,,,YALI1_C15186g
OG0001969,CENPK1137D_3294,,
OG0002008,,,YALI1_F12138g
OG0002047,,,YALI1_C33299g
OG0002111,,,YALI1_E07347g
OG0002142,CENPK1137D_480,,
OG0002190,,,YALI1_C33314g
OG0002239,,,YALI1_E08828g
OG0002290,CENPK1137D_2286,,
OG0002307,CENPK1137D_1421,,
OG0002409,CENPK1137D_4259,,
OG0002424,,,YALI1_B17493g
OG0002511,,,YALI1_B14680g
OG0002519,CENPK1137D_717,,
OG0002554,,,YALI1_F23399g
OG0002581,CENPK1137D_4319,,YALI1_B26112g
OG0002620,,KMXK0E03750,
OG0002698,,,YALI1_B05798g
OG0002831,,,YALI1_F31744g
OG0002843,,,YALI1_F37508g
OG0003004,,,YALI1_B11853g
OG0003224,,,YALI1_A00746g
OG0003513,,,YALI1_F37714g
OG0003549,,,YALI1_B03404g
OG0003600,CENPK1137D_206,,
