OG,sce,kma,yli
OG0000664,CENPK1137D_4729,,
OG0000676,,KMXK0A00540,
OG0000696,CENPK1137D_1632,,
OG0000703,CENPK1137D_5275,,
OG0000724,,,YALI1_C05264g
OG0000788,,KMXK0A02540,
OG0000804,,KMXK0A02840,
OG0000874,,KMXK0A04010,
OG0000903,,KMXK0A04590,
OG0001015,CENPK1137D_4561,,
OG0001059,CENPK1137D_2780,,
OG0001087,,KMXK0A07750,
OG0001123,,KMXK0B00330,
OG0001136,,,YALI1_E36437g
OG0001270,,KMXK0B02970,YALI1_F04045g
OG0001273,CENPK1137D_2929,,
OG0001322,,,YALI1_F08705g
OG0001329,,KMXK0B03850,
OG0001345,,KMXK0B04080,
OG0001363,CENPK1137D_2680,,
OG0001368,,KMXK0B04420,
OG0001386,CENPK1137D_694,,
OG0001429,,KMXK0B05430,
OG0001453,,KMXK0B05840,
OG0001456,,KMXK0B05880,
OG0001503,CENPK1137D_334,,
OG0001579,,,YALI1_F16743g
OG0001602,,KMXK0B08260,
OG0001672,CENPK1137D_3377,,
OG0001717,CENPK1137D_3143,,
OG0001796,,KMXK0C03310,
OG0001810,CENPK1137D_1819,KMXK0C03590,
OG0001823,CENPK1137D_2595,,YALI1_F03389g
OG0001847,,KMXK0C04200,
OG0001934,CENPK1137D_289,KMXK0C05530,
OG0002015,,KMXK0C06790,
OG0002043,CENPK1137D_1111,,
OG0002053,,KMXK0D00280,
OG0002108,,KMXK0D01210,
OG0002115,,KMXK0D01320,
OG0002137,,KMXK0D01690,
OG0002142,CENPK1137D_480,,
OG0002175,CENPK1137D_2482,,
OG0002206,CENPK1137D_2933,,
OG0002228,CENPK1137D_71,,
OG0002302,,KMXK0D04580,
OG0002307,CENPK1137D_1421,,
OG0002381,CENPK1137D_1906,,
OG0002393,,KMXK0D06030,
OG0002409,CENPK1137D_4259,,
OG0002418,,KMXK0D06490,
OG0002426,CENPK1137D_1588,,
OG0002449,CENPK1137D_4827,,
OG0002457,,KMXK0E00880,
OG0002484,,,YALI1_B20802g
OG0002493,,KMXK0E01500,
OG0002504,,KMXK0E01620,
OG0002519,CENPK1137D_717,,
OG0002523,,KMXK0E02040,
OG0002533,,KMXK0E02210,
OG0002543,,KMXK0E02340,
OG0002547,,KMXK0E02400,
OG0002562,,KMXK0E02720,
OG0002576,,KMXK0E03010,YALI1_C09773g
OG0002589,,KMXK0E03200,
OG0002598,,KMXK0E03370,
OG0002605,CENPK1137D_1799,KMXK0E03480,
OG0002620,,KMXK0E03750,
OG0002645,,KMXK0E04100,
OG0002646,,KMXK0E04110,
OG0002698,,KMXK0E04920,
OG0002724,,KMXK0E05330,
OG0002755,,KMXK0E05840,
OG0002780,CENPK1137D_2809,,
OG0002787,,KMXK0E06260,
OG0002806,,KMXK0F00490,
OG0002810,CENPK1137D_594,KMXK0F00530,YALI1_C23926g
OG0002824,,KMXK0F00780,
OG0002838,,KMXK0F01080,
OG0002845,,KMXK0F01190,
OG0002851,,KMXK0F01270,
OG0003001,,KMXK0F03710,
OG0003011,,KMXK0F03880,
OG0003044,,KMXK0F04380,
OG0003063,,KMXK0F04730,
OG0003086,CENPK1137D_3185,,
OG0003109,,KMXK0F05540,
OG0003113,,KMXK0F05650,
OG0003127,,KMXK0G00340,
OG0003141,,KMXK0G00610,
OG0003159,CENPK1137D_2041,,
OG0003209,CENPK1137D_5153,,
OG0003224,CENPK1137D_3253,,
OG0003231,,KMXK0G02030,
OG0003236,,KMXK0G02120,
OG0003246,,KMXK0G02240,
OG0003251,CENPK1137D_2119,,
OG0003369,,KMXK0H00280,
OG0003389,CENPK1137D_3761,,
OG0003404,CENPK1137D_1398,,
OG0003436,CENPK1137D_1727,,
OG0003467,CENPK1137D_3468,,
OG0003553,,KMXK0H03160,
OG0003557,,KMXK0H03230,
OG0003639,CENPK1137D_1702,,
