OG,sce,kma
OG0000737,CENPK1137D_5249,
OG0000813,CENPK1137D_4509,
OG0001015,CENPK1137D_4561,
OG0001171,CENPK1137D_4498,
OG0001183,CENPK1137D_598,
OG0001286,CENPK1137D_3353,
OG0001320,CENPK1137D_1987,
OG0001321,CENPK1137D_1988,
OG0001381,CENPK1137D_4185,
OG0001386,CENPK1137D_694,
OG0001392,CENPK1137D_1157,
OG0001407,CENPK1137D_3275,
OG0001429,,KMXK0B05430
OG0001447,CENPK1137D_5404,
OG0001453,,KMXK0B05840
OG0001467,CENPK1137D_4207,
OG0001468,CENPK1137D_4204,
OG0001487,CENPK1137D_2071,
OG0001502,CENPK1137D_3729,
OG0001503,CENPK1137D_334,
OG0001547,CENPK1137D_2491,
OG0001806,CENPK1137D_4712,
OG0001960,CENPK1137D_4932,
OG0001969,CENPK1137D_3294,
OG0001984,CENPK1137D_720,
OG0002016,CENPK1137D_3436,
OG0002043,CENPK1137D_1111,
OG0002108,,KMXK0D01210
OG0002115,,KMXK0D01320
OG0002125,CENPK1137D_3869,
OG0002142,CENPK1137D_480,
OG0002213,,KMXK0D03030
OG0002228,CENPK1137D_71,
OG0002259,,KMXK0D03890
OG0002290,CENPK1137D_2286,
OG0002327,CENPK1137D_1884,
OG0002367,CENPK1137D_1919,
OG0002386,,KMXK0D05930
OG0002409,CENPK1137D_4259,
OG0002426,CENPK1137D_1588,
OG0002458,CENPK1137D_4837,
OG0002576,CENPK1137D_265,
OG0002589,CENPK1137D_4353,KMXK0E03200
OG0002609,CENPK1137D_4150,
OG0002620,,KMXK0E03750
OG0002646,,KMXK0E04110
OG0002698,,KMXK0E04920
OG0002724,,KMXK0E05330
OG0002787,,KMXK0E06260
OG0002800,,KMXK0F00380
OG0002806,,KMXK0F00490
OG0002836,CENPK1137D_25,
OG0002851,CENPK1137D_1415,
OG0002872,CENPK1137D_3324,
OG0002948,CENPK1137D_2317,
OG0003196,CENPK1137D_2642,
OG0003210,CENPK1137D_5151,
OG0003251,CENPK1137D_2119,
OG0003543,CENPK1137D_1820,
OG0003600,CENPK1137D_206,
OG0003633,CENPK1137D_3388,
