OG,sce,kma,yli
OG0000706,CENPK1137D_3635,,
OG0000715,CENPK1137D_3628,,
OG0000738,CENPK1137D_676,,
OG0000758,,KMXK0A02060,
OG0000795,CENPK1137D_2542,,
OG0000819,CENPK1137D_3393,,
OG0000847,,KMXK0A03560,
OG0000864,CENPK1137D_4984,,
OG0000875,CENPK1137D_5411,,
OG0000907,,KMXK0A04730,
OG0000946,CENPK1137D_259,,
OG0000981,CENPK1137D_2911,KMXK0A06050,
OG0000986,CENPK1137D_2919,,
OG0000994,,KMXK0A06380,
OG0001092,CENPK1137D_4469,,
OG0001138,CENPK1137D_2945,,
OG0001201,CENPK1137D_4049,,
OG0001210,CENPK1137D_3867,,
OG0001221,CENPK1137D_2258,,
OG0001261,CENPK1137D_2852,KMXK0B02830,
OG0001266,,KMXK0B02910,
OG0001274,,KMXK0B03030,
OG0001281,,KMXK0B03140,
OG0001289,CENPK1137D_442,,
OG0001359,,KMXK0B04280,
OG0001390,,,YALI1_E19371g
OG0001392,CENPK1137D_1157,KMXK0B04790,
OG0001402,,KMXK0B04960,
OG0001407,,KMXK0B05040,
OG0001428,CENPK1137D_3445,,
OG0001438,CENPK1137D_5399,,
OG0001441,,KMXK0B05700,
OG0001444,CENPK1137D_4296,,
OG0001544,CENPK1137D_5342,,
OG0001554,,KMXK0B07510,
OG0001610,CENPK1137D_3199,KMXK0C00260,
OG0001666,CENPK1137D_148,,
OG0001676,,KMXK0C01390,
OG0001683,CENPK1137D_2671,,
OG0001684,CENPK1137D_4488,,
OG0001695,CENPK1137D_1214,,
OG0001707,,KMXK0C01890,
OG0001720,CENPK1137D_3141,,
OG0001725,,KMXK0C02130,
OG0001817,CENPK1137D_3570,KMXK0C03710,
OG0001869,,KMXK0C04540,
OG0001880,CENPK1137D_2277,,
OG0001919,CENPK1137D_4052,,
OG0001960,CENPK1137D_4932,,
OG0001964,,KMXK0C05990,
OG0001980,,KMXK0C06300,
OG0002008,CENPK1137D_20,,
OG0002021,CENPK1137D_3444,KMXK0C06930,
OG0002028,,KMXK0C07020,
OG0002030,,KMXK0C07040,
OG0002047,CENPK1137D_127,,
OG0002055,CENPK1137D_2729,,
OG0002060,CENPK1137D_2971,,
OG0002070,CENPK1137D_697,,
OG0002092,CENPK1137D_877,,
OG0002103,,KMXK0D01140,
OG0002105,,KMXK0D01170,
OG0002111,CENPK1137D_3122,,
OG0002124,CENPK1137D_3870,,
OG0002139,,KMXK0D01720,
OG0002170,,KMXK0D02230,
OG0002177,,KMXK0D02440,
OG0002222,,KMXK0D03190,
OG0002228,,KMXK0D03320,
OG0002245,,KMXK0D03600,
OG0002249,CENPK1137D_5017,,
OG0002261,CENPK1137D_5100,,
OG0002272,,KMXK0D04110,
OG0002275,CENPK1137D_2237,,
OG0002281,,KMXK0D04270,
OG0002291,CENPK1137D_2287,,
OG0002327,,KMXK0D05020,
OG0002330,CENPK1137D_5357,KMXK0D05050,
OG0002358,,KMXK0D05520,
OG0002371,,KMXK0D05720,
OG0002374,,KMXK0D05750,
OG0002396,,,YALI1_E24343g
OG0002409,,,YALI1_D07162g
OG0002433,,KMXK0E00410,
OG0002434,CENPK1137D_1583,,
OG0002524,,KMXK0E02060,
OG0002547,CENPK1137D_4583,,
OG0002577,CENPK1137D_3497,,
OG0002586,,KMXK0E03160,
OG0002682,,KMXK0E04690,
OG0002684,CENPK1137D_3413,KMXK0E04730,
OG0002703,CENPK1137D_3979,,
OG0002738,,KMXK0E05560,
OG0002768,CENPK1137D_3688,,
OG0002770,,KMXK0E06060,
OG0002804,CENPK1137D_4387,,
OG0002817,,KMXK0F00670,
OG0002836,CENPK1137D_25,,
OG0002844,CENPK1137D_384,,
OG0002857,,KMXK0F01330,
OG0002865,CENPK1137D_44,,
OG0002919,CENPK1137D_975,,
OG0002936,CENPK1137D_5371,,
OG0002987,CENPK1137D_2568,,
OG0003097,CENPK1137D_3196,,
OG0003107,CENPK1137D_1508,,
OG0003112,,KMXK0F05610,
OG0003154,,KMXK0G00890,
OG0003188,,KMXK0G01390,
OG0003216,CENPK1137D_5143,,
OG0003223,,KMXK0G01870,
OG0003239,,,YALI1_D31186g
OG0003265,CENPK1137D_2281,,
OG0003277,,KMXK0G02750,
OG0003319,CENPK1137D_3503,KMXK0G03550,
OG0003327,,KMXK0G03710,
OG0003342,CENPK1137D_2104,,
OG0003374,,KMXK0H00360,
OG0003383,,KMXK0H00530,
OG0003408,CENPK1137D_1409,,
OG0003416,,KMXK0H01120,
OG0003424,CENPK1137D_1737,KMXK0H01220,
OG0003465,,KMXK0H01820,
OG0003492,,KMXK0H02200,
OG0003498,CENPK1137D_213,,
OG0003524,CENPK1137D_1859,,
OG0003539,,KMXK0H02960,
OG0003544,,KMXK0H03040,
OG0003564,CENPK1137D_4636,KMXK0H03340,
OG0003577,,KMXK0H03480,
OG0003600,,,YALI1_C24891g
OG0003618,,KMXK0H04100,
OG0003628,,KMXK0H04260,
OG0003629,,KMXK0H04290,
OG0003639,,KMXK0H04430,
