gene,condition,significance,direction,P_ref,P_cond,group
YALI1_D34933g,HiT,TRUE,-1,NaN,NaN,4
YALI1_E27625g,HiT,TRUE,1,NaN,NaN,3
YALI1_A22454g,HiT,TRUE,1,0.266949268413021,0.424705320040692,3
YALI1_A22496g,HiT,TRUE,1,NaN,NaN,2
YALI1_E00239g,HiT,TRUE,1,NaN,NaN,5
YALI1_E09329g,HiT,TRUE,-1,NaN,NaN,4
YALI1_E14350g,HiT,TRUE,1,NaN,NaN,4
YALI1_E12561g,HiT,TRUE,1,NaN,NaN,2
YALI1_B17292g,HiT,TRUE,1,NaN,NaN,5
YALI1_C31408g,HiT,TRUE,1,0.128608702616989,0.204653494370973,3
YALI1_A15105g,HiT,TRUE,1,NaN,NaN,4
YALI1_B12966g,HiT,TRUE,1,NaN,NaN,1
YALI1_F15357g,HiT,TRUE,1,NaN,NaN,5
YALI1_C30454g,HiT,TRUE,1,NaN,NaN,3
YALI1_E02744g,HiT,TRUE,1,NaN,NaN,4
YALI1_C06222g,HiT,TRUE,1,NaN,NaN,4
YALI1_F17988g,HiT,TRUE,-1,NaN,NaN,2
YALI1_C25391g,HiT,TRUE,1,NaN,NaN,4
YALI1_C01161g,HiT,TRUE,1,NaN,NaN,4
YALI1_B27968g,HiT,TRUE,1,NaN,NaN,3
YALI1_D35025g,HiT,TRUE,1,NaN,NaN,1
YALI1_F29798g,HiT,TRUE,1,NaN,NaN,1
YALI1_C04720g,HiT,TRUE,1,NaN,NaN,1
YALI1_C20793g,HiT,TRUE,-1,NaN,NaN,4
YALI1_C08922g,HiT,TRUE,1,NaN,NaN,2
YALI1_B13328g,HiT,TRUE,-1,NaN,NaN,4
YALI1_B21155g,HiT,TRUE,1,NaN,NaN,1
YALI1_E10295g,HiT,TRUE,1,NaN,NaN,4
YALI1_D26671g,HiT,TRUE,1,NaN,NaN,4
YALI1_A16681g,HiT,TRUE,1,NaN,NaN,4
YALI1_E20794g,HiT,TRUE,1,NaN,NaN,5
YALI1_C15465g,HiT,TRUE,1,NaN,NaN,1
YALI1_C21789g,HiT,TRUE,-1,NaN,NaN,3
YALI1_E02850g,HiT,TRUE,-1,0.0539361654577823,0.0154029593421499,2
YALI1_D11256g,HiT,TRUE,1,NaN,NaN,4
YALI1_D00094g,HiT,TRUE,1,NaN,NaN,2
YALI1_A12772g,HiT,TRUE,-1,NaN,NaN,4
YALI1_E20463g,HiT,TRUE,1,NaN,NaN,4
YALI1_D01234g,HiT,TRUE,1,NaN,NaN,4
YALI1_B21381g,HiT,TRUE,1,NaN,NaN,3
YALI1_B03910g,HiT,TRUE,-1,NaN,NaN,3
YALI1_F37171g,HiT,TRUE,1,NaN,NaN,5
YALI1_D00376g,HiT,TRUE,1,NaN,NaN,2
YALI1_B05832g,HiT,TRUE,-1,NaN,NaN,2
