"","protein","Gene","orthogroup"
"1","A5Z2X5","YPR010C-A","S+KZC"
"2","D6VTK4","YFL026W","S+KZC"
"3","D6W196","YNL083W","S+KZC"
"4","O13297","YPL228W","S+KZC"
"5","O13329","YDR110W","S+KZC"
"6","O13516","YPL081W","S+KZC"
"7","O13525","YDR204W","S+KZC"
"8","O13535","YHR214C-B","S+KZC"
"9","O13539","YHR167W","S+KZC"
"10","O13547","YLR390W-A","S+KZC"
"11","O13563","YLR421C","S+KZC"
"12","O13577","YLR437C","S+KZC"
"13","O13585","YPR089W","S+KZC"
"14","O14455","YPL249C-A","S+KZC"
"15","O14464","YPL183W-A","S+KZC"
"16","O14467","YOR298C-A","S+KZC"
"17","O14468","YOR304C-A","S+KZC"
"18","O43137","YBR085C-A","S+KZC"
"19","O60200","YKL053C-A","S+KZC"
"20","O74700","YEL020W-A","S+KZC"
"21","O75012","YDL045W-A","S+KZC"
"22","O94742","YDR363W-A","S+KZC"
"23","P00044","YJR048W","S+KZC"
"24","P00127","YFR033C","S+KZC"
"25","P00128","YDR529C","S+KZC"
"26","P00163","Q0105","S+KZC"
"27","P00175","YML054C","S+KZC"
"28","P00330","YOL086C","S+KZC"
"29","P00331","YMR303C","S+KZC"
"30","P00358","YJR009C","S+KZC"
"31","P00359","YGR192C","S+KZC"
"32","P00360","YJL052W","S+KZC"
"33","P00401","Q0045","S+KZC"
"34","P00410","Q0250","S+KZC"
"35","P00420","Q0275","S+KZC"
"36","P00424","YNL052W","S+KZC"
"37","P00427","YHR051W","S+KZC"
"38","P00431","YKR066C","S+KZC"
"39","P00445","YJR104C","S+KZC"
"40","P00447","YHR008C","S+KZC"
"41","P00498","YER055C","S+KZC"
"42","P00546","YBR160W","S+KZC"
"43","P00549","YAL038W","S+KZC"
"44","P00560","YCR012W","S+KZC"
"45","P00572","YJR057W","S+KZC"
"46","P00635","YBR093C","S+KZC"
"47","P00724","YIL162W","S+KZC"
"48","P00729","YMR297W","S+KZC"
"49","P00812","YPL111W","S+KZC"
"50","P00815","YCL030C","S+KZC"
"51","P00817","YBR011C","S+KZC"
"52","P00830","YJR121W","S+KZC"
"53","P00854","Q0085","S+KZC"
"54","P00856","Q0080","S+KZC"
"55","P00890","YNR001C","S+KZC"
"56","P00899","YER090W","S+KZC"
"57","P00912","YDR007W","S+KZC"
"58","P00924","YGR254W","S+KZC"
