Orthogroup	S.cerevisiae	C.glabrata	K.marxianus	Z.rouxii
OG0000000	O13535, P0C2I2, P0C2I3, P0C2I5, P0C2I6, P0C2I9, P0C2J0, P0C2J1, P0C2J3, P0CX63, P0CX64, P25384, P47098, P47100, Q03434, Q03494, Q03612, Q03619, Q03855, Q04670, Q04711, Q07791, Q12088, Q12113, Q12141, Q12269, Q12273, Q12316, Q12414, Q12472, Q12491, Q12501, Q92393, Q99231, Q99337		KMXK_0B01170, KMXK_0B01450, KMXK_0C05550	
OG0000001	P13181, P23585, P32465, P32466, P32467, P38695, P39003, P39004, P42833, P43581	tr|Q6FJR9|Q6FJR9_CANGA, tr|Q6FR79|Q6FR79_CANGA, tr|Q6FW63|Q6FW63_CANGA, tr|Q6FXX9|Q6FXX9_CANGA, tr|Q6FY15|Q6FY15_CANGA, tr|Q6FY16|Q6FY16_CANGA, tr|Q6FY17|Q6FY17_CANGA, tr|Q6FY37|Q6FY37_CANGA, tr|Q6FY41|Q6FY41_CANGA, tr|Q6FY42|Q6FY42_CANGA	KMXK_0E03650, KMXK_0E03660, KMXK_0E03670, KMXK_0E03680, KMXK_0E03690, KMXK_0G03930	tr|C5DPW5|C5DPW5_ZYGRC, tr|C5DSU9|C5DSU9_ZYGRC, tr|C5DWB0|C5DWB0_ZYGRC, tr|C5E1P6|C5E1P6_ZYGRC
OG0000002	P0CI67, P32768, P36170, P38894, P39712, P43552, Q6B2U8	tr|B4UMX0|B4UMX0_CANGA, tr|B4UMX2|B4UMX2_CANGA, tr|B4UN33|B4UN33_CANGA, tr|Q6FK94|Q6FK94_CANGA, tr|Q6FK96|Q6FK96_CANGA, tr|Q6FNG2|Q6FNG2_CANGA, tr|Q6FQ10|Q6FQ10_CANGA, tr|Q6FR82|Q6FR82_CANGA, tr|Q6FUW3|Q6FUW3_CANGA, tr|Q6FUW4|Q6FUW4_CANGA, tr|Q6FUW5|Q6FUW5_CANGA, tr|Q6FVP4|Q6FVP4_CANGA, tr|Q6FX25|Q6FX25_CANGA, tr|Q6FX55|Q6FX55_CANGA	KMXK_0A06590, KMXK_0B00110, KMXK_0C00100, KMXK_0D06590, KMXK_0F05740, KMXK_0G00130, KMXK_0G04270	tr|C5DWW7|C5DWW7_ZYGRC
OG0000003	P0CE85, P0CE86, P0CE87, P0CE88, P0CE89, P0CE90, P0CE91, P0CE92, P0CE93, P25610, P32612, P35994, P38155, P38725, P40585, P43575, P47178, P47179, P53343, P53427, Q03050, Q07987, Q08322, Q12370, Q3E770	tr|Q6FSJ1|Q6FSJ1_CANGA, tr|Q6FVP5|Q6FVP5_CANGA, tr|Q6FX54|Q6FX54_CANGA		
OG0000004	P32568, P33302, P53756, Q02785, Q04182	sp|O74208|PDH1_CANGA, sp|Q6FK23|CDR1_CANGA, sp|Q6FQN3|SNQ2_CANGA, tr|Q6FJC9|Q6FJC9_CANGA	KMXK_0A01850, KMXK_0A01870, KMXK_0C03560, KMXK_0D02670, KMXK_0D02680, KMXK_0D02690	tr|C5DPK6|C5DPK6_ZYGRC, tr|C5DS87|C5DS87_ZYGRC, tr|C5DW46|C5DW46_ZYGRC, tr|C5DW47|C5DW47_ZYGRC, tr|C5DW48|C5DW48_ZYGRC, tr|C5DWU8|C5DWU8_ZYGRC, tr|C5DXY9|C5DXY9_ZYGRC, tr|C5DXZ0|C5DXZ0_ZYGRC
OG0000005	P12630, P32329, P53379, Q12303	tr|F2Z5X7|F2Z5X7_CANGA, tr|Q6FJR5|Q6FJR5_CANGA, tr|Q6FVH4|Q6FVH4_CANGA, tr|Q6FVH6|Q6FVH6_CANGA, tr|Q6FVH8|Q6FVH8_CANGA, tr|Q6FVH9|Q6FVH9_CANGA, tr|Q6FVJ4|Q6FVJ4_CANGA	KMXK_0B05490, KMXK_0E04700	tr|C5DWK4|C5DWK4_ZYGRC, tr|C5DY48|C5DY48_ZYGRC, tr|C5DY49|C5DY49_ZYGRC, tr|C5DY50|C5DY50_ZYGRC, tr|C5DY51|C5DY51_ZYGRC, tr|C5DY52|C5DY52_ZYGRC, tr|C5DZB0|C5DZB0_ZYGRC, tr|C5E427|C5E427_ZYGRC
OG0000006	P53111, P53183, Q03049, Q12068	tr|Q6FV26|Q6FV26_CANGA, tr|Q6FV31|Q6FV31_CANGA	KMXK_0C00200, KMXK_0D06610, KMXK_0G00700	tr|C5DQH9|C5DQH9_ZYGRC, tr|C5DSG7|C5DSG7_ZYGRC, tr|C5DUP5|C5DUP5_ZYGRC, tr|C5DXH9|C5DXH9_ZYGRC, tr|C5DZ69|C5DZ69_ZYGRC, tr|C5E0T3|C5E0T3_ZYGRC, tr|C5E1N7|C5E1N7_ZYGRC, tr|C5E1P5|C5E1P5_ZYGRC, tr|C5E504|C5E504_ZYGRC
OG0000007	P32478, P46999, P47001, Q03178, Q03180	tr|Q6FJ79|Q6FJ79_CANGA, tr|Q6FJ80|Q6FJ80_CANGA, tr|Q6FQH4|Q6FQH4_CANGA, tr|Q6FQH5|Q6FQH5_CANGA, tr|Q6FQH6|Q6FQH6_CANGA	KMXK_0E02560, KMXK_0E02570, KMXK_0E02580	tr|C5E159|C5E159_ZYGRC, tr|C5E160|C5E160_ZYGRC, tr|C5E161|C5E161_ZYGRC
OG0000008	P40549	tr|F2Z665|F2Z665_CANGA, tr|Q6FRE2|Q6FRE2_CANGA, tr|Q6FRE3|Q6FRE3_CANGA, tr|Q6FT97|Q6FT97_CANGA, tr|Q6FWP3|Q6FWP3_CANGA, tr|Q6FWP4|Q6FWP4_CANGA, tr|Q6FWP5|Q6FWP5_CANGA, tr|Q6FWP6|Q6FWP6_CANGA, tr|Q6FWP7|Q6FWP7_CANGA, tr|Q6FWP8|Q6FWP8_CANGA, tr|Q6FWP9|Q6FWP9_CANGA	KMXK_0E03720	tr|C5DZF8|C5DZF8_ZYGRC
OG0000009	P25376, P38084, P41815, P48813	tr|Q6FKY8|Q6FKY8_CANGA, tr|Q6FMR8|Q6FMR8_CANGA, tr|Q6FRI0|Q6FRI0_CANGA, tr|Q6FX81|Q6FX81_CANGA	KMXK_0A07810, KMXK_0D01460, KMXK_0E00460	tr|C5DZ15|C5DZ15_ZYGRC, tr|C5E0F7|C5E0F7_ZYGRC
OG0000010	P0CX12, P0CX13, P36034, P38723, P38728, P38729, P43542, P47187, P52924, P53053, P53344, P53822, Q07788			
OG0000011	P10591, P10592, P16474, P22202	sp|Q6FW50|BIP_CANGA, tr|Q6FTB5|Q6FTB5_CANGA, tr|Q6FTD8|Q6FTD8_CANGA	KMXK_0B04700, KMXK_0B07070, KMXK_0G03730	tr|C5DQE5|C5DQE5_ZYGRC, tr|C5DQJ6|C5DQJ6_ZYGRC, tr|C5DQW2|C5DQW2_ZYGRC
OG0000012	P36033, P53746, Q08905, Q08908, Q12473	tr|Q6FWS3|Q6FWS3_CANGA	KMXK_0B00170, KMXK_0E00260, KMXK_0H01010, KMXK_0H01020	tr|C5DP76|C5DP76_ZYGRC, tr|C5DXZ8|C5DXZ8_ZYGRC, tr|C5DZU9|C5DZU9_ZYGRC
OG0000013	P26570, P32598, P32945	tr|Q6FN79|Q6FN79_CANGA, tr|Q6FRY8|Q6FRY8_CANGA, tr|Q6FUI4|Q6FUI4_CANGA, tr|Q6FX04|Q6FX04_CANGA	KMXK_0C01430, KMXK_0C03220, KMXK_0D06270	tr|C5DW97|C5DW97_ZYGRC, tr|C5DZD4|C5DZD4_ZYGRC, tr|C5E1B0|C5E1B0_ZYGRC
OG0000014				tr|C5DP31|C5DP31_ZYGRC, tr|C5DP36|C5DP36_ZYGRC, tr|C5DP42|C5DP42_ZYGRC, tr|C5DQH1|C5DQH1_ZYGRC, tr|C5DSH9|C5DSH9_ZYGRC, tr|C5DUP7|C5DUP7_ZYGRC, tr|C5DWV9|C5DWV9_ZYGRC, tr|C5DWW2|C5DWW2_ZYGRC, tr|C5DWW6|C5DWW6_ZYGRC, tr|C5DZ71|C5DZ71_ZYGRC, tr|C5E3U2|C5E3U2_ZYGRC, tr|C5E3U7|C5E3U7_ZYGRC, tr|C5E3V0|C5E3V0_ZYGRC
OG0000015	P36135, P40472, P46955, P53616	tr|Q6FL83|Q6FL83_CANGA, tr|Q6FLH9|Q6FLH9_CANGA, tr|Q6FNQ3|Q6FNQ3_CANGA, tr|Q6FSQ5|Q6FSQ5_CANGA	KMXK_0F00240, KMXK_0F05620	tr|C5DP92|C5DP92_ZYGRC, tr|C5DV41|C5DV41_ZYGRC
OG0000016	Q05998, Q08485, Q08579	tr|Q6FII6|Q6FII6_CANGA, tr|Q6FK95|Q6FK95_CANGA, tr|Q6FSR3|Q6FSR3_CANGA	KMXK_0B02360, KMXK_0E00550, KMXK_0G00230	tr|C5DSI2|C5DSI2_ZYGRC, tr|C5DT14|C5DT14_ZYGRC, tr|C5DXL8|C5DXL8_ZYGRC
OG0000017	P18494, P26343, P42944	tr|Q6FLI5|Q6FLI5_CANGA, tr|Q6FT94|Q6FT94_CANGA, tr|Q6FWW9|Q6FWW9_CANGA	KMXK_0C06870, KMXK_0D02550, KMXK_0F02700	tr|C5DV50|C5DV50_ZYGRC, tr|C5DXA7|C5DXA7_ZYGRC, tr|C5E4U8|C5E4U8_ZYGRC
OG0000018	P27809, P27810, P38130	tr|Q6FJK9|Q6FJK9_CANGA, tr|Q6FRM5|Q6FRM5_CANGA, tr|Q6FXM6|Q6FXM6_CANGA	KMXK_0A01000, KMXK_0C03430, KMXK_0G02330	tr|C5DXX8|C5DXX8_ZYGRC, tr|C5DXZ6|C5DXZ6_ZYGRC, tr|C5E417|C5E417_ZYGRC
OG0000019	P41816, Q03558	tr|Q6FKQ7|Q6FKQ7_CANGA, tr|Q6FM55|Q6FM55_CANGA, tr|Q6FQY0|Q6FQY0_CANGA, tr|Q6FR05|Q6FR05_CANGA	KMXK_0A02470, KMXK_0A03790	tr|C5DTW8|C5DTW8_ZYGRC, tr|C5DTW9|C5DTW9_ZYGRC, tr|C5DYD4|C5DYD4_ZYGRC, tr|C5DYJ9|C5DYJ9_ZYGRC
OG0000020	P00330, P00331, P07246	tr|Q6FPS0|Q6FPS0_CANGA, tr|Q6FQA4|Q6FQA4_CANGA	KMXK_0B01710, KMXK_0D01240, KMXK_0D02430, KMXK_0G03150	tr|C5DR66|C5DR66_ZYGRC, tr|C5DTZ6|C5DTZ6_ZYGRC, tr|C5DZD2|C5DZD2_ZYGRC
OG0000021		tr|B4UN20|B4UN20_CANGA, tr|B4UN21|B4UN21_CANGA, tr|B4UN22|B4UN22_CANGA, tr|B4UN41|B4UN41_CANGA, tr|B4UN54|B4UN54_CANGA, tr|B4UN55|B4UN55_CANGA, tr|Q6FKP1|Q6FKP1_CANGA, tr|Q6FLW2|Q6FLW2_CANGA, tr|Q6FQ05|Q6FQ05_CANGA, tr|Q6FVI3|Q6FVI3_CANGA, tr|Q6FX52|Q6FX52_CANGA, tr|W0TYL5|W0TYL5_CANGA		
OG0000022	P38631, P40989, Q04952	tr|Q6FIJ9|Q6FIJ9_CANGA, tr|Q6FMZ3|Q6FMZ3_CANGA, tr|Q6FTN8|Q6FTN8_CANGA	KMXK_0C04940, KMXK_0E02020, KMXK_0G02070	tr|C5DNY0|C5DNY0_ZYGRC, tr|C5DVI4|C5DVI4_ZYGRC
OG0000023	Q12145, Q12531	tr|Q6FK18|Q6FK18_CANGA, tr|Q6FL68|Q6FL68_CANGA, tr|Q6FPR4|Q6FPR4_CANGA	KMXK_0A01640, KMXK_0B01990, KMXK_0D02260, KMXK_0D02950, KMXK_0E01450	tr|C5E445|C5E445_ZYGRC
OG0000024	P43562	tr|Q6FLX5|Q6FLX5_CANGA	KMXK_0A02920, KMXK_0A02930, KMXK_0A02940, KMXK_0A02950, KMXK_0A02960, KMXK_0E00380, KMXK_0H00480	tr|C5DX71|C5DX71_ZYGRC, tr|C5E491|C5E491_ZYGRC
OG0000025	P40047, P46367, P54115	tr|Q6FPK0|Q6FPK0_CANGA, tr|Q6FRX5|Q6FRX5_CANGA, tr|Q6FVP8|Q6FVP8_CANGA	KMXK_0A00970, KMXK_0D04260, KMXK_0E00190	tr|C5DSI8|C5DSI8_ZYGRC, tr|C5DTH7|C5DTH7_ZYGRC
OG0000026	P38724, P38731	tr|Q6FV79|Q6FV79_CANGA	KMXK_0A03220, KMXK_0A08370, KMXK_0A08390, KMXK_0C02750, KMXK_0D01050, KMXK_0D06600	tr|C5DZV0|C5DZV0_ZYGRC
OG0000027	Q03419, Q12442, Q99393	tr|Q6FQC0|Q6FQC0_CANGA, tr|Q6FT83|Q6FT83_CANGA, tr|Q6FVE5|Q6FVE5_CANGA	KMXK_0G00520, KMXK_0G02780	tr|C5DR93|C5DR93_ZYGRC, tr|C5DTD4|C5DTD4_ZYGRC
OG0000028	D6VPM8, P25354, P38727, P39547, P39548, P39549, P39551, P39552, P53174, P53176			
