Ref_1	Ref_2	Ref_3	Ref_4	HiT_1	HiT_2	HiT_3	LpH_1	LpH_2	LpH_3	LpH_4
YALI1_A17085g	8.50641544170692e-05	6.71162167843694e-05	7.92474845801103e-05	6.82570289074631e-05	8.14163728546578e-05	0.000101286934476953	8.23959870564332e-05	1.18701117760429e-05	2.90621740896999e-05	2.13799518689594e-05	1.04079524056431e-05
YALI1_A18062g	0	0	3.16892296436385e-06	0	0	0	0	4.24028007909675e-05	4.2175594105784e-05	7.41278631404071e-05	5.22838509683102e-05
YALI1_C23738g	0	0	0	0	0	0	0	0.000201138851972041	0.000109124231351373	0.000156924695271197	0
YALI1_D06131g	5.62964305848135e-05	4.77776458465002e-05	4.29415916950661e-05	3.1500981597196e-05	3.30876304050108e-05	4.27584969747009e-05	3.47102597265193e-05	0	0	0	0
YALI1_F11481g	0	0	0	0	0	0	0	4.43150839638934e-05	3.05152827941849e-05	3.69747402910239e-05	5.46417501296262e-05
YALI1_B12489g	4.09270931629295e-05	2.53268742582526e-05	5.00792327225479e-05	4.45296894695314e-05	3.74180570258523e-05	2.71994751644998e-05	5.2188716903191e-05	0	0	0	0
YALI1_F35868g	3.70701942466964e-05	2.56929267377664e-05	2.63911865625927e-05	2.90399674099151e-05	4.06702123728258e-05	1.97089946992762e-05	2.32716514075527e-05	0	0	0	0
YALI1_F02545g	5.4574905779162e-05	4.20280462930875e-05	5.39628095848541e-05	4.22249579378815e-05	4.43517544939016e-05	4.83594502525371e-05	4.28257866158159e-05	0	0	0	0
YALI1_F01981g	4.00984636358631e-05	5.29367343651364e-05	4.16311675353575e-05	5.23537440629455e-05	5.49907096872011e-05	4.73756116714996e-05	6.29317897218327e-05	0	0	6.3236477358894e-06	0
YALI1_E27625g	0	0	0	0	1.36099011339129e-05	1.3190856583045e-05	2.04425486874189e-05	2.21575419819467e-05	4.06870437255799e-05	5.28210575586056e-05	0
YALI1_E17643g	2.53065859390781e-05	2.0045376746265e-05	3.15286708801108e-05	2.20273530575949e-05	4.16462974697736e-05	2.69093474294118e-05	3.97169517355567e-05	0	0	0	0
YALI1_B16022g	8.73310097590885e-06	7.20572879586788e-06	7.7716377607635e-06	7.60146386190007e-06	6.65361347612692e-06	5.15900065747925e-06	5.71083470123993e-06	2.16647745605691e-05	2.65214625511832e-05	3.02991955934333e-05	2.56447477602233e-05
YALI1_A17957g	4.7213779737086e-05	6.54466591529174e-05	2.52094916418796e-05	6.57532927092384e-05	3.45325849666448e-05	3.34693375987708e-05	2.96395162205647e-05	0.000103071153000598	0.00019786858329231	0.000205502820949401	0.000129400363491055
