Ref_1	Ref_2	Ref_3	HiT_1	HiT_2	HiT_3	LpH_1	LpH_2	LpH_3	Osm_1	Osm_2	Osm_3
KMXK0C00110	0	0	2.80001022579381e-06	0.000157588117012578	0	0	0	0	0	3.87042059450853e-05	1.2641079673688e-05	1.02466835482076e-05
KMXK0E00250	6.03904137798717e-05	5.97451758292306e-05	6.5369002288733e-05	1.7645324358452e-05	0	0	8.81795651813549e-05	6.62164212171502e-05	8.7139859720202e-05	6.82513019040606e-05	6.60503268199479e-05	7.64849674519528e-05
KMXK0D05520	3.80006839550788e-05	4.44113224488224e-05	6.16603814371587e-05	2.89382827142554e-05	3.47401100665192e-05	3.89973284974045e-05	5.03576822750183e-05	3.93922117990001e-05	4.44112713712557e-05	4.24158136525246e-05	4.96646910763731e-05	4.46898638986944e-05
KMXK0E04920	4.17838476131316e-05	3.74646032371889e-05	1.3537785289805e-05	9.64737895651861e-05	0.000129530817540309	0.000126772267877277	3.69294293593193e-05	3.702586679649e-05	1.57310868152775e-05	3.35545572035304e-05	0.000140572383635469	0.000133054981114529
KMXK0B03470	1.46506937258365e-05	3.24433215092598e-05	3.63423903221248e-05	0.000223669169400407	3.97402797663465e-05	5.32039908602175e-05	1.63413649897912e-05	1.47254077091685e-05	9.87202790539055e-06	7.91892032411047e-05	5.34410332804068e-05	4.23414487119703e-05
KMXK0H03120	3.02901144551121e-05	7.23996386339808e-05	0.000103045589094207	5.8721655036353e-05	6.14143939063214e-05	6.40604545124538e-05	7.10747967876016e-05	7.34536009930368e-05	6.8538245747413e-05	9.18665838331107e-05	0.000113719287224068	0.000115722898355043
KMXK0A03230	5.1209905733463e-05	4.14727680300281e-05	5.03284212122786e-05	1.25403307234014e-05	2.4694724207325e-05	2.96409978849748e-05	2.43709709524008e-05	1.69936199192524e-05	5.31657234257334e-05	1.23020996941554e-06	1.0486866905555e-05	9.44500956556909e-06
KMXK0C00130	8.985469850195e-06	5.15451155055655e-05	5.60416247854886e-05	9.62662074467026e-05	3.84063403056579e-05	4.50079057552463e-05	4.72165530588657e-05	4.214603378062e-05	5.83040280566228e-05	8.41842145224667e-05	7.51358848060331e-05	9.49961976457881e-05
KMXK0A03250	9.63543403986647e-06	3.2513901614066e-05	5.46321792152029e-06	1.76965073152568e-05	9.50410705533414e-05	9.33095372700769e-05	7.64256054683297e-06	1.66021230136546e-05	1.92373696633527e-06	0	0	0
KMXK0B06330	6.1629237203042e-05	6.44683107652926e-05	3.9602417357514e-05	0.000177328962372254	2.02630853885371e-05	1.64639308931529e-05	0.00011487413653105	0.000129786437844839	0.00012058333075347	5.99607534443706e-05	8.41370562696766e-06	0
KMXK0E03090	2.75098624036767e-05	3.11428151598403e-05	3.65627796256211e-05	3.31399296255946e-05	1.63393032623416e-05	2.48921704106855e-05	3.30820327737852e-05	2.85420946059899e-05	3.7206637820145e-05	2.30237332845456e-05	2.18071921439498e-05	1.3327600487634e-05
KMXK0B08260	1.62997545389466e-05	4.50016764728642e-06	3.36066801105229e-06	0	0.000116927968143689	9.79738838395817e-05	0	3.40423443527448e-06	3.55012817206603e-06	8.00932954326748e-06	2.88272864923974e-05	4.56798455268875e-05
KMXK0A02470	7.36093100454815e-05	4.91491082072033e-05	6.39358770617523e-05	2.58877124339524e-05	1.85377137613943e-05	1.88275645362293e-05	5.0310370728471e-05	3.4181378679928e-05	3.56462745791729e-05	7.957387851675e-05	5.13152739228919e-05	7.42775858338956e-05
KMXK0G00680	0.000487448166155782	0.000421855594778755	0.000403188783646216	0.00040725134458031	0.000467605895564355	0.000490237168830557	0.000357064584823258	0.000346933656208803	0.000368671694025715	0.000376094885876428	0.000373837971769829	0.000432896951154586
KMXK0F00940	3.34506122596678e-05	2.89842786924315e-05	4.0182718434121e-05	2.13462798066501e-05	3.41131584480138e-05	3.2942614412554e-05	2.52954372937852e-05	2.53990663309256e-05	2.85250889954445e-05	3.15643658281762e-05	3.3669900833367e-05	3.22668222332191e-05
KMXK0A03790	0.000113043007792776	6.03967909386844e-05	6.94357374541611e-05	3.17190499190748e-05	3.71674261022496e-05	3.77485661173033e-05	5.6039122620078e-05	3.96766479962388e-05	3.38539517748133e-05	5.94041836348052e-05	3.53667923873033e-05	5.02617807863606e-05
KMXK0A02960	6.8279874311284e-06	1.61282986783443e-05	3.61332254857385e-05	0	0	0	1.21854854762004e-05	1.17648137902516e-05	5.45289471033163e-06	0	4.66082973580223e-06	5.39714832318234e-06
KMXK0D05180	2.17112149362351e-05	2.28758522070393e-05	2.36152823227621e-05	1.30203994065568e-05	1.22373143130773e-05	8.87760979532752e-06	1.84507895554669e-05	2.13765897626794e-05	2.12311586760811e-05	2.05965405803829e-05	2.58597717064153e-05	1.6285932860359e-05
KMXK0G03090	1.27823603087791e-05	8.31849171165066e-06	7.76517987402235e-06	0	3.60232629129548e-06	0	1.0319662383404e-05	4.1951171828635e-06	8.74981084832435e-06	8.8830745843512e-06	1.35554146212257e-05	8.11908676322884e-06
KMXK0D03860	1.0366906094231e-06	2.44875315815385e-06	3.9186380139796e-06	0	0	2.76946516389464e-06	8.63388120760459e-06	1.19083132484615e-05	6.20933122394399e-06	4.4827749404372e-06	4.95356344394929e-06	3.68751095155713e-06
KMXK0F02490	0	0	0	0	0	0	0	4.26903995260558e-06	0	1.00440050366379e-05	1.04646235918379e-05	1.1016205828522e-05
KMXK0B06430	2.30082485558023e-05	3.88196279877031e-05	0	0	0	0	5.47485246445853e-05	3.52389843360534e-05	4.59365069537028e-05	0	0	0
KMXK0D01880	1.08124206029641e-05	8.5132918340121e-06	9.08231165012234e-06	1.4709755025762e-06	2.37001150620358e-06	1.6047122516111e-06	5.71740921921302e-06	5.52003077416026e-06	7.67546698466933e-06	7.35945862716185e-06	9.43080548440489e-06	9.49624831547272e-06
KMXK0E02020	1.33768886952339e-05	1.48959037627233e-05	1.28938103024464e-05	6.1420224473319e-06	6.59728361487253e-06	9.38061178795918e-06	1.63131505118314e-05	1.69024198123512e-05	1.00152268067666e-05	1.08456143181032e-05	1.81481673697965e-05	1.18954061879864e-05
KMXK0E01130	3.11068632409776e-05	3.08201858186889e-05	3.0771555894086e-05	1.7017770981687e-05	1.56678584928939e-05	1.72389067197134e-05	2.36231866275015e-05	2.96499560934236e-05	3.32991624674854e-05	2.71881550562883e-05	2.77845906530721e-05	2.82503454071176e-05
KMXK0C05210	1.97446672003694e-05	1.63538007267345e-05	1.7301481625694e-05	8.24163579457586e-06	0	0	1.06779037427383e-05	8.24742186588483e-06	1.50515363210005e-05	1.94041629218452e-05	1.92978184380237e-05	1.59617790834542e-05
KMXK0E01660	2.47495190672534e-05	3.05011362760524e-05	5.97918850299721e-05	4.34788337326094e-05	9.97715728178444e-05	8.40836470614592e-05	5.24906135516751e-05	6.55112495788237e-05	4.64052468205774e-05	8.60812227578795e-05	8.48381984052573e-05	8.80340979041528e-05
KMXK0C03840	3.94706721444057e-05	4.23787054119065e-05	5.56098439220156e-05	2.19673090176786e-05	3.06742510002656e-05	3.83432190177019e-05	4.12683822344582e-05	5.08350660140846e-05	5.15808792637041e-05	5.04269810525646e-05	6.49080012545464e-05	5.95624799824924e-05
KMXK0D02430	9.81817503027773e-05	3.31305445757121e-05	4.12357827792911e-05	1.33571338739678e-05	2.51075931595896e-05	2.5500168825889e-05	1.94687641516305e-05	3.34162782497058e-05	4.35604807319596e-05	1.96550788216966e-05	2.97864521046671e-05	3.44921203182687e-05
KMXK0C01560	8.12120650652602e-05	6.31934461351546e-05	6.04791480762936e-05	6.56725748803415e-05	6.69535817589056e-05	6.92147439559845e-05	5.4079900421196e-05	5.36052796922364e-05	6.60667291101387e-05	7.73099766986734e-05	6.39167618079316e-05	5.53311096772228e-05
KMXK0B03480	5.00179316430486e-06	1.26585743438162e-05	9.92592557809813e-06	0.000160760761447557	7.40043118537875e-06	1.00215231523539e-05	1.04141215356548e-05	7.18185822066305e-06	8.9875774474636e-06	2.83872166065136e-05	1.02427720676128e-05	2.52044693432408e-05
