GeneName_CENPK	uniprotID_S288c	GeneName_S288C	standard_A	standard_B	standard_C	high_temp_A	high_temp_B	high_temp_C	low_pH_A	low_pH_B	low_pH_C	osmotic_stress_A	osmotic_stress_B	osmotic_stress_C	uniprotID_CENPK	Protein_name
CENPK1137D_2389	P46367	YOR374W	682829.223	612857.7406	656932.2214	587474.7652	737065.8721	478137.2861	508260.7522	572699.0189	688889.1925	467057.555	445635.1213	494315.3877	N1NZ13	" Potassium-activated aldehyde dehydrogenase, mitochondrial - ALD4"
CENPK1137D_1639	P54115	YPL061W	97576.52458	97854.02548	104354.3359	83515.08748	92551.51101	71808.79514	78955.15711	88047.00203	104818.8109	187873.7395	188173.4251	205011.5182	N1NX93	" Magnesium-activated aldehyde dehydrogenase, cytosolic - ALD6"
CENPK1137D_3481	P40047	YER073W	2349.70517	2438.727284	2653.170911	1899.391963	1928.287058	1416.924538	1691.732688	1737.850024	1969.345475	840.2184901	728.7546613	908.0210052	N1P4W5	" Aldehyde dehydrogenase 5, mitochondrial - ALD5"
CENPK1137D_3157	P00359	YGR192C	62564.92595	63707.37026	81385.65186	55863.15805	82150.53948	53119.93635	38285.67383	60538.53859	87911.99242	71498.88043	68109.22679	78326.71321	N1P2H7	 Glyceraldehyde-3-phosphate dehydrogenase 3 - TDH3
CENPK1137D_1304	P00358	YJR009C	1115.335381	1596.116491	2176.748206	1320.039683	2112.597967	1095.866818	1056.459205	2099.486939	3028.867432	10667.57829	9969.80913	11703.21053	N1P004	 Glyceraldehyde-3-phosphate dehydrogenase 2 - TDH2
CENPK1137D_1249	P00360	YJL052W	15496.27948	15494.949	17350.93371	19415.20204	21566.25878	19658.13775	17980.59454	20786.18253	20854.32459	9300.182569	9222.005335	7806.015794	N1NZW1	 Glyceraldehyde-3-phosphate dehydrogenase 1 - TDH1
CENPK1137D_4664	P02994	YPR080W	731737.1399	638713.0364	687703.9499	619815.1125	692555.2979	574953.7975	595904.3995	641204.5249	647162.3707	539046.404	505113.6808	565546.8227	N1P8G0	 YBR118W
CENPK1137D_4509	P00560	YCR012W	371023.3495	356764.2121	342435.917	376505.4271	471183.5767	366208.2592	337456.3023	379048.8929	418927.4449	496356.9628	508322.9916	466593.6407	N1P832	 Phosphoglycerate kinase - PGK1
CENPK1137D_3221	P00924	YGR254W	318909.6851	286247.3239	335717.8015	271115.0009	393471.3251	220919.837	196251.956	260959.4724	384189.6337	354038.9769	327014.1669	325337.3651	N1P439	 Enolase 1 - ENO1
CENPK1137D_5376	P38689	YHL011C	1228.711358	1396.78992	2039.708693	1003.126809	1574.065943	815.7483882	596.35006	1093.726022	1252.770705	896.8387332	819.6226614	1148.488983	N1P336	 Ribose-phosphate pyrophosphokinase 3 - PRS3
CENPK1137D_4810	P38063	YBL068W	4.350004508	NA	14.66889497	NA	34.54520826	NA	NA	NA	5.635923186	3.601273438	NA	NA	N1P9M4	 Ribose-phosphate pyrophosphokinase 4 - PRS4
CENPK1137D_3512	P38620	YER099C	65.03593644	86.42455942	75.00938136	84.25477126	160.6302293	109.0224495	74.33834585	75.40725784	97.11683254	102.0551104	105.6241513	100.2477739	N1P3H7	 Ribose-phosphate pyrophosphokinase 2 - PRS2
CENPK1137D_3515	P22202	YER103W	3238.918309	3543.867855	4290.016989	3901.620402	4861.402089	3675.56893	3266.76006	4270.652612	4839.868848	4115.985774	4781.924637	3427.11297	N1P731	 Heat shock protein SSA4 - SSA4
CENPK1137D_4754	P09435	YBL075C	10910.27528	12204.8137	16271.16067	13684.95295	19201.97245	14355.19657	15675.64733	18347.88729	19117.24269	5728.761312	5927.029347	4548.364957	N1P8N4	 Heat shock protein SSA3 - SSA3
CENPK1137D_1268	P16474	YJL034W	14064.02072	12834.82899	14257.88611	18548.80323	22142.41681	16621.20707	13979.22976	16060.87786	15152.79643	15916.19738	15221.08497	15293.17267	N1P0X7	 78 kDa glucose-regulated protein homolog - KAR2
CENPK1137D_1888	P19097	YPL231W	67936.75717	71042.3008	71980.35172	45892.479	50673.85196	42623.54804	57719.20563	64564.77666	73351.82625	57220.06407	51065.19108	58298.41777	N1NWL3	 Fatty acid synthase subunit alpha - FAS2
CENPK1137D_1128	P07149	YKL182W	57934.58664	64439.29188	60729.21062	41823.65257	43074.19434	40480.8897	56284.06196	63187.20083	62963.77763	53476.63168	52362.12116	58985.49306	N1P0M8	 Fatty acid synthase subunit beta - FAS1
CENPK1137D_1503	P07259	YJL130C	16793.37436	18162.24974	18415.57327	15087.25927	16375.33451	14758.47177	15012.21134	18252.33261	16822.17421	13110.38408	13302.52164	14211.03924	N1P1J1	 Protein URA2 - URA2
CENPK1137D_1403	P03965	YJR109C	11949.69879	13414.93686	11714.04571	6934.671043	7044.03019	5477.565892	7413.572816	8690.447511	9872.660182	4086.933377	4576.55549	5067.19403	N1P185	 Carbamoyl-phosphate synthase arginine-specific large chain - CPA2
