genes,direction
KMXK_0F02400,down
KMXK_0C03420,down
KMXK_0A02940,down
KMXK_0C00190,mixed
KMXK_0B03310,down
KMXK_0F03060,up
KMXK_0G00120,down
KMXK_0A04050,up
KMXK_0A04840,mixed
KMXK_0F02790,down
KMXK_0D03410,up
KMXK_0A08350,up
KMXK_0D02960,up
KMXK_0D01300,up
KMXK_0A08360,up
KMXK_0C07260,up
KMXK_0E02710,up
KMXK_0A00370,up
KMXK_0F03310,up
KMXK_0D01720,down
KMXK_0C00140,mixed
KMXK_0D05590,mixed
KMXK_0H01000,up
KMXK_0C07380,down
KMXK_0E04050,up
KMXK_0F05840,up
KMXK_0H02920,down
KMXK_0A01830,up
KMXK_0A08370,up
KMXK_0H02210,down
KMXK_0E04920,up
KMXK_0B04400,up
KMXK_0D02910,up
KMXK_0H00910,down
KMXK_0E05410,up
KMXK_0D01520,up
KMXK_0C00850,up
KMXK_0H01060,up
KMXK_0C03100,up
KMXK_0C03250,down
KMXK_0F00540,up
KMXK_0G00220,down
KMXK_0G03730,up
KMXK_0C00790,mixed
KMXK_0E00610,up
KMXK_0C00210,up
KMXK_0F02740,down
KMXK_0C04390,up
KMXK_0E04790,up
KMXK_0D06590,down
KMXK_0B05890,up
KMXK_0H03460,up
KMXK_0C00200,up
KMXK_0B06260,up
KMXK_0C06270,up
KMXK_0D02500,up
KMXK_0A02460,mixed
KMXK_0H00120,up
KMXK_0H03280,mixed
KMXK_0E06330,up
KMXK_0B03320,down
KMXK_0D04670,down
KMXK_0H04430,down
KMXK_0B04680,down
KMXK_0C06410,up
KMXK_0F05620,up
KMXK_0A04140,mixed
KMXK_0E02690,up
KMXK_0F02060,up
KMXK_0B08280,up
KMXK_0G04240,down
KMXK_0A06560,up
KMXK_0B04700,down
KMXK_0F04730,up
KMXK_0D01860,down
KMXK_0F00970,down
KMXK_0F05630,up
KMXK_0E03710,up
KMXK_0G02530,down
KMXK_0F00530,up
KMXK_0E00700,up
KMXK_0A02180,down
KMXK_0A05070,up
KMXK_0A06440,down
KMXK_0E04700,down
KMXK_0D01260,down
KMXK_0A03950,mixed
KMXK_0A01100,up
KMXK_0H04290,down
KMXK_0A06730,up
KMXK_0B02760,up
KMXK_0B06000,mixed
KMXK_0G01500,up
KMXK_0H03120,down
KMXK_0C06240,down
KMXK_0D02690,up
KMXK_0B04980,down
KMXK_0C02570,up
KMXK_0F04540,down
KMXK_0E00270,up
KMXK_0E05350,down
KMXK_0D01560,up
KMXK_0A04960,up
KMXK_0B01990,down
KMXK_0B04730,up
KMXK_0H03810,down
KMXK_0D04300,up
KMXK_0H04310,up
KMXK_0B00590,up
KMXK_0A08330,up
KMXK_0C05200,down
KMXK_0D06540,up
KMXK_0A08300,up
KMXK_0B01120,down
KMXK_0E06320,down
KMXK_0D00710,up
KMXK_0A08290,down
KMXK_0C00360,down
KMXK_0C00390,up
KMXK_0B05340,up
KMXK_0F03920,up
KMXK_0D00840,up
KMXK_0C04430,up
KMXK_0A05080,up
KMXK_0A01670,up
KMXK_0F03580,up
KMXK_0B01360,mixed
KMXK_0C05010,up
KMXK_0B06020,down
KMXK_0G00180,down
KMXK_0H04280,down
KMXK_0B03110,mixed
KMXK_0A01380,down
KMXK_0C00370,down
KMXK_0A03640,mixed
KMXK_0E00250,down
KMXK_0G03350,up
KMXK_0A06810,up
KMXK_0C04210,up
KMXK_0C03390,down
KMXK_0C06680,down
KMXK_0B05620,up
KMXK_0D05700,up
KMXK_0H03480,down
KMXK_0E06300,up
KMXK_0A06710,up
KMXK_0G03800,down
KMXK_0F03570,mixed
KMXK_0D04290,up
KMXK_0F00170,down
KMXK_0G03090,down
