Orthogroup	A_s288c	K.marxianus	L.fermentati	Z.rouxii	Total
OG0000000	8	7	7	4	26
OG0000001	25	1	0	0	26
OG0000002	7	6	4	8	25
OG0000003	7	6	8	3	24
OG0000004	22	0	2	0	24
OG0000005	6	4	4	4	18
OG0000006	7	9	1	1	18
OG0000007	4	3	2	9	18
OG0000008	18	0	0	0	18
OG0000009	4	2	2	8	16
OG0000010	13	0	2	0	15
OG0000011	3	6	4	1	14
OG0000012	5	3	3	3	14
OG0000013	1	4	7	2	14
OG0000014	3	4	4	3	14
OG0000015	3	3	4	3	13
OG0000016	0	0	13	0	13
OG0000017	0	0	0	13	13
OG0000018	3	3	3	3	12
OG0000019	1	7	2	2	12
OG0000020	3	3	3	3	12
OG0000021	3	3	4	2	12
OG0000022	3	2	4	2	11
OG0000023	3	2	3	3	11
OG0000024	2	6	2	1	11
OG0000025	5	3	3	0	11
OG0000026	4	2	2	2	10
OG0000027	1	3	4	2	10
OG0000028	10	0	0	0	10
OG0000029	3	3	3	1	10
OG0000030	2	3	3	2	10
OG0000031	4	2	2	2	10
OG0000032	3	3	2	2	10
OG0000033	1	0	2	7	10
OG0000034	2	5	2	1	10
OG0000035	4	1	2	3	10
OG0000036	2	5	2	1	10
OG0000037	1	4	4	1	10
OG0000038	3	1	3	2	9
OG0000039	1	2	5	1	9
OG0000040	1	4	3	1	9
OG0000041	1	3	3	2	9
OG0000042	2	2	3	2	9
OG0000043	3	2	2	2	9
OG0000044	6	0	3	0	9
OG0000045	5	1	2	1	9
OG0000046	5	1	2	1	9
OG0000047	3	2	2	2	9
OG0000048	3	2	2	2	9
OG0000049	2	2	1	4	9
OG0000050	1	3	3	2	9
OG0000051	3	2	2	2	9
OG0000052	2	2	2	2	8
OG0000053	2	2	2	2	8
OG0000054	2	2	2	2	8
OG0000055	2	2	2	2	8
OG0000056	2	2	2	2	8
OG0000057	2	2	2	2	8
OG0000058	2	2	2	2	8
OG0000059	2	2	2	2	8
OG0000060	2	2	2	2	8
OG0000061	2	2	2	2	8
OG0000062	2	2	2	2	8
OG0000063	2	2	2	2	8
OG0000064	2	2	2	2	8
OG0000065	2	2	2	2	8
OG0000066	2	2	2	2	8
OG0000067	2	2	2	2	8
OG0000068	2	2	2	2	8
OG0000069	2	2	2	2	8
OG0000070	2	2	2	2	8
OG0000071	2	2	2	2	8
OG0000072	2	2	2	2	8
OG0000073	2	2	2	2	8
OG0000074	1	2	4	1	8
OG0000075	2	2	2	2	8
OG0000076	2	2	2	2	8
OG0000077	2	2	2	2	8
OG0000078	2	2	2	2	8
OG0000079	2	2	2	2	8
OG0000080	2	2	2	2	8
OG0000081	2	2	2	2	8
OG0000082	2	2	2	2	8
OG0000083	2	1	3	2	8
OG0000084	2	2	2	2	8
OG0000085	2	2	2	2	8
OG0000086	2	2	2	2	8
OG0000087	2	2	2	2	8
OG0000088	0	2	4	2	8
OG0000089	2	2	2	1	7
OG0000090	2	2	2	1	7
OG0000091	4	1	1	1	7
OG0000092	1	2	2	2	7
OG0000093	2	3	1	1	7
OG0000094	3	1	1	2	7
OG0000095	1	2	1	3	7
OG0000096	1	2	2	2	7
OG0000097	4	1	1	1	7
OG0000098	1	2	2	2	7
OG0000099	2	2	2	1	7
OG0000100	2	1	2	2	7
OG0000101	2	2	1	2	7
OG0000102	2	1	2	2	7
OG0000103	2	2	2	1	7
OG0000104	2	2	2	1	7
OG0000105	1	1	5	0	7
OG0000106	1	2	2	2	7
OG0000107	2	2	2	1	7
OG0000108	1	2	2	2	7
OG0000109	0	2	3	2	7
OG0000110	0	3	2	2	7
OG0000111	0	7	0	0	7
OG0000112	2	1	2	1	6
OG0000113	2	0	4	0	6
OG0000114	3	1	1	1	6
OG0000115	2	1	2	1	6
OG0000116	1	2	2	1	6
OG0000117	3	1	1	1	6
OG0000118	4	1	1	0	6
OG0000119	2	1	1	2	6
OG0000120	1	1	3	1	6
OG0000121	3	1	1	1	6
OG0000122	1	1	1	3	6
OG0000123	2	1	2	1	6
OG0000124	2	1	2	1	6
OG0000125	1	1	1	3	6
OG0000126	2	1	1	2	6
OG0000127	2	1	2	1	6
OG0000128	2	1	2	1	6
OG0000129	2	2	1	1	6
OG0000130	3	1	1	1	6
OG0000131	1	2	3	0	6
OG0000132	3	1	1	1	6
OG0000133	1	1	1	3	6
OG0000134	3	1	1	1	6
OG0000135	3	1	1	1	6
OG0000136	1	2	2	1	6
OG0000137	2	2	1	1	6
OG0000138	2	2	1	1	6
OG0000139	1	2	2	1	6
OG0000140	1	2	2	1	6
OG0000141	2	1	2	1	6
OG0000142	3	1	1	1	6
OG0000143	1	1	2	2	6
OG0000144	2	1	1	2	6
OG0000145	1	2	2	1	6
OG0000146	1	3	1	1	6
OG0000147	3	1	1	1	6
OG0000148	1	2	2	1	6
OG0000149	1	1	2	2	6
OG0000150	1	2	2	1	6
OG0000151	1	1	3	1	6
OG0000152	2	1	2	1	6
OG0000153	1	2	2	1	6
OG0000154	1	1	1	3	6
OG0000155	2	1	2	1	6
OG0000156	0	1	3	2	6
OG0000157	0	2	1	3	6
OG0000158	0	2	2	2	6
