Orthogroup	A_s288c	K.marxianus	L.fermentati	Z.rouxii
OG0000000	P13181, P32465, P32466, P32467, P38695, P39003, P39004, P42833	KMXK_0C07370, KMXK_0E03650, KMXK_0E03660, KMXK_0E03670, KMXK_0E03680, KMXK_0E03690, KMXK_0G03930	tr|A0A1G4MBE8|A0A1G4MBE8_LACFM, tr|A0A1G4MBI6|A0A1G4MBI6_LACFM, tr|A0A1G4MBT2|A0A1G4MBT2_LACFM, tr|A0A1G4MC24|A0A1G4MC24_LACFM, tr|A0A1G4MC38|A0A1G4MC38_LACFM, tr|A0A1G4MCT9|A0A1G4MCT9_LACFM, tr|A0A1G4MFR5|A0A1G4MFR5_LACFM	tr|C5DPW5|C5DPW5_ZYGRC, tr|C5DSU9|C5DSU9_ZYGRC, tr|C5DWB0|C5DWB0_ZYGRC, tr|C5E1P6|C5E1P6_ZYGRC
OG0000001	O13535, P0C2I2, P0C2I3, P0C2I5, P0C2I6, P0C2I9, P0C2J0, P0C2J1, P47098, P47100, Q03434, Q03612, Q03619, Q03855, Q04670, Q04711, Q12088, Q12141, Q12269, Q12273, Q12316, Q12414, Q92393, Q99231, Q99337	KMXK_0C05550		
OG0000002	P32568, P33302, P40550, P53756, Q02785, Q04182, Q08409	KMXK_0A01850, KMXK_0A01870, KMXK_0C03560, KMXK_0D02670, KMXK_0D02680, KMXK_0D02690	tr|A0A1G4MBT1|A0A1G4MBT1_LACFM, tr|A0A1G4MHX2|A0A1G4MHX2_LACFM, tr|A0A1G4MI58|A0A1G4MI58_LACFM, tr|A0A1G4ML85|A0A1G4ML85_LACFM	tr|C5DPK6|C5DPK6_ZYGRC, tr|C5DS87|C5DS87_ZYGRC, tr|C5DW46|C5DW46_ZYGRC, tr|C5DW47|C5DW47_ZYGRC, tr|C5DW48|C5DW48_ZYGRC, tr|C5DWU8|C5DWU8_ZYGRC, tr|C5DXY9|C5DXY9_ZYGRC, tr|C5DXZ0|C5DXZ0_ZYGRC
OG0000003	P06775, P19145, P25376, P38084, P41815, P48813, P53388	KMXK_0A04670, KMXK_0A07810, KMXK_0D01460, KMXK_0E00460, KMXK_0F05010, KMXK_0G00640	tr|A0A1G4M725|A0A1G4M725_LACFM, tr|A0A1G4M731|A0A1G4M731_LACFM, tr|A0A1G4M8R7|A0A1G4M8R7_LACFM, tr|A0A1G4MGJ2|A0A1G4MGJ2_LACFM, tr|A0A1G4MGP2|A0A1G4MGP2_LACFM, tr|A0A1G4MHA5|A0A1G4MHA5_LACFM, tr|A0A1G4MHF7|A0A1G4MHF7_LACFM, tr|A0A1G4MIV4|A0A1G4MIV4_LACFM	tr|C5DV44|C5DV44_ZYGRC, tr|C5DZ15|C5DZ15_ZYGRC, tr|C5E0F7|C5E0F7_ZYGRC
OG0000004	O13559, P0CX14, P0CX15, P0CX20, P0CX21, P0CX22, P38721, P38899, P38900, P40105, P40434, P40889, P43538, P53819, Q03099, Q07888, Q08995, Q3E7X8, Q3E7Y4, Q3E7Y5, Q7M4S9, Q99208		tr|A0A1G4M8W0|A0A1G4M8W0_LACFM, tr|A0A1G4M972|A0A1G4M972_LACFM	
OG0000005	P10591, P10592, P11484, P16474, P22202, P40150	KMXK_0B04700, KMXK_0B07070, KMXK_0E05880, KMXK_0G03730	tr|A0A1G4M772|A0A1G4M772_LACFM, tr|A0A1G4M7C5|A0A1G4M7C5_LACFM, tr|A0A1G4MJJ2|A0A1G4MJJ2_LACFM, tr|A0A1G4MKE1|A0A1G4MKE1_LACFM	sp|Q707X3|SSB1_ZYGRC, tr|C5DQE5|C5DQE5_ZYGRC, tr|C5DQJ6|C5DQJ6_ZYGRC, tr|C5DQW2|C5DQW2_ZYGRC
OG0000006	P0CI67, P32768, P36170, P38894, P39712, P43552, Q6B2U8	KMXK_0A06590, KMXK_0B00110, KMXK_0B04400, KMXK_0C00100, KMXK_0D06590, KMXK_0F05740, KMXK_0G00120, KMXK_0G00130, KMXK_0G04270	tr|A0A1G4MAH7|A0A1G4MAH7_LACFM	tr|C5DWW7|C5DWW7_ZYGRC
OG0000007	P53111, P53183, Q03049, Q12068	KMXK_0C00200, KMXK_0D06610, KMXK_0G00700	tr|A0A1G4M8Z4|A0A1G4M8Z4_LACFM, tr|A0A1G4MAI8|A0A1G4MAI8_LACFM	tr|C5DQH9|C5DQH9_ZYGRC, tr|C5DSG7|C5DSG7_ZYGRC, tr|C5DUP5|C5DUP5_ZYGRC, tr|C5DXH9|C5DXH9_ZYGRC, tr|C5DZ69|C5DZ69_ZYGRC, tr|C5E0T3|C5E0T3_ZYGRC, tr|C5E1N7|C5E1N7_ZYGRC, tr|C5E1P5|C5E1P5_ZYGRC, tr|C5E504|C5E504_ZYGRC
OG0000008	P0C2I8, P0CX59, P0CX60, P0CX65, P0CX66, P0CX67, P0CX68, P0CX69, P0CX74, P0CX75, P0CX76, Q03856, Q04706, Q12217, Q12441, Q12485, Q6Q5H1, Q92392			
OG0000009	P12630, P32329, P53379, Q12303	KMXK_0B05490, KMXK_0E04700	tr|A0A1G4MHE6|A0A1G4MHE6_LACFM, tr|A0A1G4MJZ9|A0A1G4MJZ9_LACFM	tr|C5DWK4|C5DWK4_ZYGRC, tr|C5DY48|C5DY48_ZYGRC, tr|C5DY49|C5DY49_ZYGRC, tr|C5DY50|C5DY50_ZYGRC, tr|C5DY51|C5DY51_ZYGRC, tr|C5DY52|C5DY52_ZYGRC, tr|C5DZB0|C5DZB0_ZYGRC, tr|C5E427|C5E427_ZYGRC
