genes,HiT,LpH,Osm
CENPK1137D_283,-1.30011531875648,-1.20681875891942,-1.50783741849767
CENPK1137D_697,-1.14483725623415,-1.29533774636973,-1.22207186944361
CENPK1137D_3867,-1.53217203771816,-1.17941796752786,-1.2843536087116
CENPK1137D_2237,-1.09810912173315,-1.30064608497257,-1.09631481750188
CENPK1137D_4296,-1.12243866414197,-1.4374308222478,-1.16934903610655
CENPK1137D_2827,-1.8275578998202,-1.3032610372877,-0.859100021730435
CENPK1137D_5342,-1.09504162500102,-1.42896662739582,-0.765155932317869
CENPK1137D_1249,-1.03297062309963,-1.98058130306802,-1.27589187767869
CENPK1137D_442,-1.14211985368027,-1.57117699973441,-1.12311128196714
CENPK1137D_3415 CENPK1137D_5041,-1.01142173477472,-1.09302479609335,-1.24340160533657
CENPK1137D_3847,-1.08916349342523,-0.772730762203038,-0.763554198861278
CENPK1137D_4774,-0.790255837400276,-0.886924203090607,-1.13119121110631
CENPK1137D_1583,-0.947770944822152,-0.798940689317832,-0.769506503643519
CENPK1137D_4784,-1.3097668294455,-1.02359087392065,-1.1398560078446
CENPK1137D_2671,-1.01720662161413,-0.837318292890188,-1.25351388381575
CENPK1137D_5143,-1.11735686048774,-0.759557241142594,-1.35069680520756
CENPK1137D_4925,-0.920625180777872,-1.20910253425405,-1.26178394964478
CENPK1137D_3979,-0.828132144935858,-0.983135981604582,-0.903679021426997
CENPK1137D_2563,-0.961012614636397,-1.41961600824874,-0.868588301608455
CENPK1137D_240,-1.08175689790178,-1.19068470629879,-1.2198557762808
