genes,direction
CENPK1137D_3199,down
CENPK1137D_2119,up
CENPK1137D_735,up
CENPK1137D_2041,up
CENPK1137D_3141,down
CENPK1137D_44,down
CENPK1137D_2759,up
CENPK1137D_4927,up
CENPK1137D_25,mixed
CENPK1137D_283,down
CENPK1137D_1157,mixed
CENPK1137D_3444,down
CENPK1137D_697,down
CENPK1137D_136,up
CENPK1137D_3867,down
CENPK1137D_148,down
CENPK1137D_2402,up
CENPK1137D_2237,down
CENPK1137D_2971,down
CENPK1137D_203,mixed
CENPK1137D_4507,mixed
CENPK1137D_676,down
CENPK1137D_127,down
CENPK1137D_4296,down
CENPK1137D_2661,up
CENPK1137D_2232,down
CENPK1137D_2827,down
CENPK1137D_5118,up
CENPK1137D_20,down
CENPK1137D_1403,down
CENPK1137D_2612,down
CENPK1137D_5399,down
CENPK1137D_1799,up
CENPK1137D_4488,down
CENPK1137D_2104,down
CENPK1137D_594,up
CENPK1137D_4469,down
CENPK1137D_1774,down
CENPK1137D_4932,mixed
CENPK1137D_4583,down
CENPK1137D_2616,up
CENPK1137D_2729,down
CENPK1137D_3890,mixed
CENPK1137D_2911,down
CENPK1137D_2390,mixed
CENPK1137D_717,up
CENPK1137D_363,mixed
CENPK1137D_1632,up
CENPK1137D_624,down
CENPK1137D_2662,mixed
CENPK1137D_3143,up
CENPK1137D_5017,down
CENPK1137D_4049,down
CENPK1137D_1527,mixed
CENPK1137D_3475,mixed
CENPK1137D_2476,up
CENPK1137D_384,down
CENPK1137D_4560,up
CENPK1137D_2568,down
CENPK1137D_5275,up
CENPK1137D_2074,up
CENPK1137D_5100,down
CENPK1137D_877,down
CENPK1137D_3503,down
CENPK1137D_1111,up
CENPK1137D_3393,down
CENPK1137D_5371,down
CENPK1137D_3445,down
CENPK1137D_1268,up
CENPK1137D_3011,up
CENPK1137D_2945,down
CENPK1137D_3400,up
CENPK1137D_3413,down
CENPK1137D_3608,up
CENPK1137D_3185,up
CENPK1137D_3497,down
CENPK1137D_5023,up
CENPK1137D_2315 CENPK1137D_2659,down
CENPK1137D_1588,up
CENPK1137D_2933,up
CENPK1137D_723,down
CENPK1137D_2433,down
CENPK1137D_1220,up
CENPK1137D_4841,up
CENPK1137D_2919,down
CENPK1137D_3854,up
CENPK1137D_1398,mixed
CENPK1137D_5240,up
CENPK1137D_5342,down
CENPK1137D_2482,up
CENPK1137D_4436,up
CENPK1137D_4227,down
CENPK1137D_3870,down
CENPK1137D_1906,up
CENPK1137D_4427,up
CENPK1137D_213,down
CENPK1137D_5411,down
CENPK1137D_4561,up
CENPK1137D_3377,up
CENPK1137D_3570,down
CENPK1137D_5153,up
CENPK1137D_242,up
CENPK1137D_2258,down
CENPK1137D_4729,up
CENPK1137D_4074,down
CENPK1137D_1819,up
CENPK1137D_4331,down
CENPK1137D_2542,down
CENPK1137D_1249,down
CENPK1137D_1178,up
CENPK1137D_2281,down
CENPK1137D_3053,mixed
CENPK1137D_168,down
CENPK1137D_5357,down
CENPK1137D_4500,up
CENPK1137D_379,down
CENPK1137D_1421,up
CENPK1137D_3635,down
CENPK1137D_609,up
CENPK1137D_3092,down
CENPK1137D_975,down
CENPK1137D_4127,up
CENPK1137D_2780,mixed
CENPK1137D_2468,up
CENPK1137D_2809,up
CENPK1137D_442,down
CENPK1137D_3628,down
CENPK1137D_625,up
CENPK1137D_4730,down
CENPK1137D_3415 CENPK1137D_5041,down
CENPK1137D_1737,down
CENPK1137D_4387,down
CENPK1137D_1214,down
CENPK1137D_4984,down
CENPK1137D_3847,down
CENPK1137D_2627,down
CENPK1137D_4774,down
CENPK1137D_71,up
CENPK1137D_1495,up
CENPK1137D_2277,down
CENPK1137D_1702,up
CENPK1137D_40,mixed
CENPK1137D_5279,up
CENPK1137D_5440,up
CENPK1137D_5199,down
CENPK1137D_4259,up
CENPK1137D_2877,down
CENPK1137D_2852,down
CENPK1137D_2287,down
CENPK1137D_1727,up
CENPK1137D_706,up
CENPK1137D_1,mixed
CENPK1137D_3122,down
CENPK1137D_1583,down
CENPK1137D_3196,down
CENPK1137D_1508,down
CENPK1137D_1859,down
CENPK1137D_369,down
CENPK1137D_4827,up
CENPK1137D_289,mixed
CENPK1137D_4224,up
CENPK1137D_4784,down
CENPK1137D_3821,up
CENPK1137D_334,up
CENPK1137D_2671,down
CENPK1137D_4002,up
CENPK1137D_730,up
CENPK1137D_4298 CENPK1137D_5402,down
CENPK1137D_3688,down
CENPK1137D_543,up
CENPK1137D_2929,up
CENPK1137D_5143,down
CENPK1137D_1409,down
CENPK1137D_2362,up
CENPK1137D_4925,down
CENPK1137D_3979,down
CENPK1137D_3468,up
CENPK1137D_3253,up
CENPK1137D_3761,up
CENPK1137D_2964,up
CENPK1137D_2563,down
CENPK1137D_5197,down
CENPK1137D_4636,down
CENPK1137D_1007,down
CENPK1137D_2595,up
CENPK1137D_2680,up
CENPK1137D_1746,down
CENPK1137D_480,up
CENPK1137D_259,down
CENPK1137D_41,down
CENPK1137D_3530 CENPK1137D_4643,down
CENPK1137D_240,down
CENPK1137D_696,up
CENPK1137D_1556,down
CENPK1137D_3054,up
CENPK1137D_206,up
CENPK1137D_4361,mixed
CENPK1137D_694,up
CENPK1137D_923,down
CENPK1137D_2647 CENPK1137D_4553,down
CENPK1137D_4693,down
CENPK1137D_1305,down
CENPK1137D_3120,down
CENPK1137D_1155,down
CENPK1137D_2766,up
CENPK1137D_2713,mixed
CENPK1137D_4473,up
CENPK1137D_4047,down
CENPK1137D_426 CENPK1137D_4276,up
CENPK1137D_3,up
CENPK1137D_3325,down
CENPK1137D_2793,down
CENPK1137D_1370,down
CENPK1137D_891,down
CENPK1137D_5439,down
CENPK1137D_4319,up
CENPK1137D_718,up
CENPK1137D_120,up
CENPK1137D_5183,down
CENPK1137D_4054,down
CENPK1137D_3020,down
CENPK1137D_919,down
CENPK1137D_4599,down
CENPK1137D_5444,down
CENPK1137D_3852,down
CENPK1137D_2698,up
CENPK1137D_3044,down
CENPK1137D_4498,up
CENPK1137D_3856,down
CENPK1137D_4038,down
CENPK1137D_4097,down
CENPK1137D_1584,down
CENPK1137D_1664,down
CENPK1137D_5064,down
CENPK1137D_1028,down
CENPK1137D_5282,down
CENPK1137D_433,down
CENPK1137D_2135,down
CENPK1137D_2409,up
CENPK1137D_2043,down
CENPK1137D_936,down
CENPK1137D_3362,down
CENPK1137D_1094,down
CENPK1137D_4405,down
CENPK1137D_318,down
CENPK1137D_4036,down
CENPK1137D_2140,down
CENPK1137D_1339,down
CENPK1137D_461,down
CENPK1137D_2826,down
CENPK1137D_3153,down
CENPK1137D_2623,down
CENPK1137D_2820,mixed
CENPK1137D_2905,down
CENPK1137D_3473,down
CENPK1137D_3682,down
CENPK1137D_1405,down
CENPK1137D_3589,down
CENPK1137D_4344,down
CENPK1137D_938,down
CENPK1137D_3668,down
CENPK1137D_3231,down
CENPK1137D_1234,down
CENPK1137D_2544,down
CENPK1137D_1705,down
CENPK1137D_2918,down
CENPK1137D_4052,down
CENPK1137D_966,down
CENPK1137D_2172,down
CENPK1137D_1939,down
CENPK1137D_3509,down
CENPK1137D_5132,up
CENPK1137D_3729,up
CENPK1137D_3804,up
CENPK1137D_5141,up
CENPK1137D_138,down
CENPK1137D_1993,up
CENPK1137D_2246,down
CENPK1137D_3368,down
CENPK1137D_382,up
CENPK1137D_2071,up
CENPK1137D_4663,up
CENPK1137D_4572,down
CENPK1137D_3646,down
CENPK1137D_1304,up
CENPK1137D_1962,down
CENPK1137D_1902,down
CENPK1137D_3469,up
CENPK1137D_3643,down
CENPK1137D_3477,down
CENPK1137D_208,down
CENPK1137D_4353,up
CENPK1137D_699,down
CENPK1137D_2676,up
CENPK1137D_3873,down
CENPK1137D_5249,up
CENPK1137D_1055,down
CENPK1137D_1851,down
CENPK1137D_1665,down
CENPK1137D_2384,down
CENPK1137D_2677,down
CENPK1137D_2712,up
CENPK1137D_3622,down
CENPK1137D_1389,down
CENPK1137D_3636,up
CENPK1137D_4617,down
CENPK1137D_2854,down
CENPK1137D_5102,down
CENPK1137D_5006,up
CENPK1137D_3146,down
CENPK1137D_808,down
CENPK1137D_4778,up
CENPK1137D_3841,down
CENPK1137D_3590,down
CENPK1137D_4464,down
CENPK1137D_4926,down
CENPK1137D_3209,up
CENPK1137D_1528,down
CENPK1137D_899,down
CENPK1137D_5134,down
CENPK1137D_1639,up
CENPK1137D_3353,up
CENPK1137D_4346,down
CENPK1137D_5284,down
CENPK1137D_3006,down
CENPK1137D_2980,down
CENPK1137D_4769,down
CENPK1137D_3279,down
CENPK1137D_3483,down
CENPK1137D_1572,down
CENPK1137D_1274,down
CENPK1137D_1444,down
CENPK1137D_673,down
CENPK1137D_3361,up
CENPK1137D_2642,up
CENPK1137D_3741,down
CENPK1137D_3610,up
CENPK1137D_225,down
CENPK1137D_4929,down
CENPK1137D_1820,up
CENPK1137D_3299,up
CENPK1137D_5314,down
CENPK1137D_5420,down
CENPK1137D_557,down
CENPK1137D_4951,down
CENPK1137D_1697,down
CENPK1137D_3234,down
CENPK1137D_3481,down
CENPK1137D_1919,up
CENPK1137D_1163,down
CENPK1137D_3701,down
CENPK1137D_4280,down
CENPK1137D_1084,down
CENPK1137D_1941,down
CENPK1137D_1563,up
CENPK1137D_4997,down
CENPK1137D_232,down
CENPK1137D_3869,up
CENPK1137D_4858,up
CENPK1137D_1151,down
CENPK1137D_4185,up
CENPK1137D_4571,down
CENPK1137D_4509,up
CENPK1137D_1128,down
CENPK1137D_1884,up
CENPK1137D_5151,up
CENPK1137D_4637,down
CENPK1137D_3275,up
CENPK1137D_4431,down
CENPK1137D_1321,down
CENPK1137D_3693,down
CENPK1137D_3443,down
CENPK1137D_2575,down
CENPK1137D_700,up
CENPK1137D_633,down
CENPK1137D_1415,up
CENPK1137D_265,up
CENPK1137D_4193,up
CENPK1137D_4698,down
CENPK1137D_4815,down
CENPK1137D_5103,down
CENPK1137D_3207,up
CENPK1137D_4934,down
CENPK1137D_2280,down
CENPK1137D_5424,down
CENPK1137D_2511,down
CENPK1137D_3802,up
CENPK1137D_1594,up
CENPK1137D_1841,down
CENPK1137D_746,down
CENPK1137D_972,down
CENPK1137D_2491,up
CENPK1137D_4075,down
CENPK1137D_3941,down
CENPK1137D_3094,down
CENPK1137D_380,down
CENPK1137D_2666,down
CENPK1137D_207,down
CENPK1137D_2153,up
CENPK1137D_1876,down
CENPK1137D_2508,down
CENPK1137D_3436,up
CENPK1137D_5285,down
CENPK1137D_4048,down
CENPK1137D_2009,down
CENPK1137D_3977,down
CENPK1137D_1086,down
CENPK1137D_1837,down
CENPK1137D_3224,down
CENPK1137D_4499,down
CENPK1137D_4664,down
CENPK1137D_4057,down
CENPK1137D_5173,down
CENPK1137D_1987,up
CENPK1137D_4843,up
CENPK1137D_3125,up
CENPK1137D_2239,down
CENPK1137D_2580,down
CENPK1137D_4150,up
CENPK1137D_2317,up
CENPK1137D_2042,down
CENPK1137D_3157,up
CENPK1137D_2190,down
CENPK1137D_5242,down
CENPK1137D_4207,up
CENPK1137D_1087,down
CENPK1137D_4920,down
CENPK1137D_2305,down
CENPK1137D_890,down
CENPK1137D_2301,down
CENPK1137D_2334,down
CENPK1137D_3348,up
CENPK1137D_4805,down
CENPK1137D_770,down
CENPK1137D_945,up
CENPK1137D_4806,down
CENPK1137D_2105,down
CENPK1137D_4213,down
CENPK1137D_1225,up
CENPK1137D_4524,up
CENPK1137D_233,down
CENPK1137D_771,down
CENPK1137D_366,down
CENPK1137D_1988,up
CENPK1137D_377,down
CENPK1137D_3324,up
CENPK1137D_3169,down
CENPK1137D_1303,down
CENPK1137D_4591,down
CENPK1137D_4814,down
CENPK1137D_2565,down
CENPK1137D_720,up
CENPK1137D_4559,down
CENPK1137D_576,up
CENPK1137D_3994,down
CENPK1137D_4797,down
CENPK1137D_5395,up
CENPK1137D_4116,down
CENPK1137D_4204,up
CENPK1137D_2521,down
CENPK1137D_3016,down
CENPK1137D_3385,down
CENPK1137D_1877,down
CENPK1137D_4712,up
CENPK1137D_4342,up
CENPK1137D_5446,up
CENPK1137D_3166,down
CENPK1137D_398,down
CENPK1137D_990,up
CENPK1137D_2795,down
CENPK1137D_3188,up
CENPK1137D_2564,down
CENPK1137D_4343,up
CENPK1137D_2502,up
CENPK1137D_1470,up
CENPK1137D_239,down
CENPK1137D_3311,up
CENPK1137D_769,up
CENPK1137D_1581,down
CENPK1137D_3278,up
CENPK1137D_2320,up
CENPK1137D_1399,down
CENPK1137D_3710,down
CENPK1137D_2524,down
CENPK1137D_725,down
CENPK1137D_3215,down
CENPK1137D_5404,up
CENPK1137D_4837,up
CENPK1137D_3294,up
CENPK1137D_3388,up
CENPK1137D_1000,down
CENPK1137D_5095,down
CENPK1137D_4781,down
CENPK1137D_598,up
CENPK1137D_5425,down
CENPK1137D_5058,down
CENPK1137D_1826,up
CENPK1137D_1729,down
CENPK1137D_2286,up
CENPK1137D_3826,down
CENPK1137D_229,down
