"","protein","Gene","orthogroup"
"1","A0A023PZB3","YER038W-A","S+EMP"
"2","A0A023PZE8","YDR157W","S+EMP"
"3","A5Z2X5","YPR010C-A","S+EMP"
"4","D6VPM8","YAR023C","S+EMP"
"5","D6VTK4","YFL026W","S+EMP"
"6","D6W196","YNL083W","S+EMP"
"7","O13297","YPL228W","S+EMP"
"8","O13329","YDR110W","S+EMP"
"9","O13511","YAL065C","S+EMP"
"10","O13516","YPL081W","S+EMP"
"11","O13525","YDR204W","S+EMP"
"12","O13547","YLR390W-A","S+EMP"
"13","O13555","YLR331C","S+EMP"
"14","O13556","YLR462W","S+EMP"
"15","O13559","YLR466W","S+EMP"
"16","O13563","YLR421C","S+EMP"
"17","O13585","YPR089W","S+EMP"
"18","O14455","YPL249C-A","S+EMP"
"19","O14467","YOR298C-A","S+EMP"
"20","O14468","YOR304C-A","S+EMP"
"21","O43137","YBR085C-A","S+EMP"
"22","O60200","YKL053C-A","S+EMP"
"23","O74700","YEL020W-A","S+EMP"
"24","O75012","YDL045W-A","S+EMP"
"25","O94742","YDR363W-A","S+EMP"
"26","P00044","YJR048W","S+EMP"
"27","P00045","YEL039C","S+EMP"
"28","P00128","YDR529C","S+EMP"
"29","P00175","YML054C","S+EMP"
"30","P00330","YOL086C","S+EMP"
"31","P00331","YMR303C","S+EMP"
"32","P00358","YJR009C","S+EMP"
"33","P00359","YGR192C","S+EMP"
"34","P00360","YJL052W","S+EMP"
"35","P00424","YNL052W","S+EMP"
"36","P00427","YHR051W","S+EMP"
"37","P00431","YKR066C","S+EMP"
"38","P00445","YJR104C","S+EMP"
"39","P00447","YHR008C","S+EMP"
"40","P00498","YER055C","S+EMP"
"41","P00546","YBR160W","S+EMP"
"42","P00549","YAL038W","S+EMP"
"43","P00560","YCR012W","S+EMP"
"44","P00572","YJR057W","S+EMP"
"45","P00635","YBR093C","S+EMP"
"46","P00724","YIL162W","S+EMP"
"47","P00729","YMR297W","S+EMP"
"48","P00812","YPL111W","S+EMP"
"49","P00815","YCL030C","S+EMP"
"50","P00817","YBR011C","S+EMP"
"51","P00830","YJR121W","S+EMP"
"52","P00890","YNR001C","S+EMP"
"53","P00899","YER090W","S+EMP"
"54","P00912","YDR007W","S+EMP"
"55","P00924","YGR254W","S+EMP"
"56","P00925","YHR174W","S+EMP"
"57","P00927","YER086W","S+EMP"
"58","P00931","YGL026C","S+EMP"
"59","P00937","YKL211C","S+EMP"
"60","P00942","YDR050C","S+EMP"
"61","P00950","YKL152C","S+EMP"
"62","P00958","YGR264C","S+EMP"
"63","P01094","YMR174C","S+EMP"
"64","P01097","YDL181W","S+EMP"
"65","P01098","YDL130W-A","S+EMP"
"66","P01119","YOR101W","S+EMP"
"67","P01123","YFL038C","S+EMP"
"68","P01149","YPL187W","S+EMP"
"69","P02293","YDR224C","S+EMP"
"70","P02294","YBL002W","S+EMP"
"71","P02309","YBR009C, YNL030W","S+EMP"
"72","P02400","YDR382W","S+EMP"
"73","P02406","YGL103W","S+EMP"
"74","P02407","YML024W","S+EMP"
"75","P02557","YFL037W","S+EMP"
"76","P02829","YPL240C","S+EMP"
"77","P02992","YOR187W","S+EMP"
"78","P02994","YPR080W, YBR118W","S+EMP"
"79","P03069","YEL009C","S+EMP"
"80","P03874","YHL038C","S+EMP"
"81","P03962","YEL021W","S+EMP"
"82","P03965","YJR109C","S+EMP"
"83","P04037","YGL187C","S+EMP"
"84","P04039","YLR395C","S+EMP"
